personId,firstName,lastName,teamId,min,points,fgm,fga,ftm,fta,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,gameId
203952,Andrew,Wiggins,1610612750,37,20,8,18,2,2,2,6,0,6,6,3,3,1,2,0,0,0021800010
201959,Taj,Gibson,1610612750,26,6,3,4,0,0,0,0,2,9,11,0,5,0,1,0,-4,0021800010
1626157,Karl-Anthony,Towns,1610612750,22,8,2,6,3,3,1,2,2,7,9,3,6,0,3,0,-4,0021800010
202710,Jimmy,Butler,1610612750,31,23,9,23,4,5,1,4,3,4,7,3,2,4,1,1,-3,0021800010
201952,Jeff,Teague,1610612750,31,27,8,12,9,9,2,3,0,1,1,4,2,2,2,0,-5,0021800010
201565,Derrick,Rose,1610612750,30,8,3,12,2,2,0,2,3,1,4,2,2,0,1,0,-1,0021800010
1626145,Tyus,Jones,1610612750,16,4,2,7,0,0,0,0,1,0,1,1,2,0,1,0,1,0021800010
203476,Gorgui,Dieng,1610612750,24,12,4,8,4,6,0,2,3,2,5,2,4,2,0,1,-1,0021800010
201229,Anthony,Tolliver,1610612750,19,0,0,1,0,0,0,0,0,2,2,2,1,0,0,0,-3,0021800010
1628966,Keita,Bates-Diop,1610612750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800010
2736,Luol,Deng,1610612750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800010
203263,James,Nunnally,1610612750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800010
1629006,Josh,Okogie,1610612750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800010
1628383,Justin,Patton,1610612750,,,,,,,,,,,,,,,,,,0021800010
200752,Rudy,Gay,1610612759,23,18,8,12,1,2,1,1,3,4,7,0,3,0,1,1,2,0021800010
200746,LaMarcus,Aldridge,1610612759,41,21,7,23,7,10,0,1,8,11,19,2,2,1,2,3,6,0021800010
1627751,Jakob,Poeltl,1610612759,7,4,2,4,0,0,0,0,4,0,4,2,3,0,0,0,2,0021800010
201942,DeMar,DeRozan,1610612759,38,28,10,21,7,11,1,3,0,4,4,4,3,0,3,0,7,0021800010
1627854,Bryn,Forbes,1610612759,30,11,4,10,2,2,1,5,1,2,3,2,5,2,2,0,2,0021800010
2200,Pau,Gasol,1610612759,22,5,1,4,2,2,1,1,3,4,7,6,2,0,1,0,-2,0021800010
201988,Patty,Mills,1610612759,29,6,2,7,0,0,2,6,0,2,2,1,2,0,1,0,1,0021800010
201158,Marco,Belinelli,1610612759,21,10,3,6,2,2,2,4,0,4,4,2,1,0,1,0,3,0021800010
201967,Dante,Cunningham,1610612759,6,0,0,2,0,0,0,0,0,1,1,1,1,0,1,0,-4,0021800010
202722,Davis,Bertans,1610612759,17,9,3,4,0,0,3,4,0,1,1,2,0,0,0,0,3,0021800010
1629234,Drew,Eubanks,1610612759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800010
1629002,Chimezie,Metu,1610612759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800010
202347,Quincy,Pondexter,1610612759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800010
