personId,firstName,lastName,teamId,min,points,fgm,fga,ftm,fta,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,gameId
2544,LeBron,James,1610612747,33,18,8,16,0,0,2,6,0,10,10,9,3,0,4,0,0,0021800835
1628398,Kyle,Kuzma,1610612747,31,39,14,21,6,7,5,8,1,2,3,1,1,0,1,0,-6,0021800835
201580,JaVale,McGee,1610612747,26,21,10,15,1,3,0,0,5,8,13,1,5,1,1,1,9,0021800835
203493,Reggie,Bullock,1610612747,30,2,1,5,0,0,0,2,0,1,1,3,1,1,0,2,-7,0021800835
1627742,Brandon,Ingram,1610612747,33,19,6,11,7,7,0,0,1,3,4,4,3,0,3,0,-8,0021800835
203484,Kentavious,Caldwell-Pope,1610612747,27,6,3,5,0,0,0,2,0,3,3,1,1,1,1,1,-23,0021800835
2199,Tyson,Chandler,1610612747,12,0,0,0,0,2,0,0,1,3,4,0,3,0,1,0,-23,0021800835
200765,Rajon,Rondo,1610612747,15,0,0,3,0,0,0,0,0,3,3,7,1,0,2,0,-14,0021800835
202362,Lance,Stephenson,1610612747,12,4,2,8,0,0,0,3,1,0,1,2,2,0,3,0,-24,0021800835
203488,Mike,Muscala,1610612747,13,8,3,7,0,0,2,5,0,1,1,2,1,0,0,0,-18,0021800835
1629021,Moritz,Wagner,1610612747,3,3,1,2,0,0,1,1,0,0,0,1,0,0,0,0,-1,0021800835
1628404,Josh,Hart,1610612747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800835
202710,Jimmy,Butler,1610612755,30,15,6,10,2,2,1,2,2,2,4,3,0,0,0,0,19,0021800835
202699,Tobias,Harris,1610612755,28,22,9,14,1,2,3,5,1,5,6,6,3,0,1,1,5,0021800835
203954,Joel,Embiid,1610612755,32,37,12,16,11,12,2,3,0,14,14,3,2,1,3,0,23,0021800835
200755,JJ,Redick,1610612755,28,21,8,13,2,2,3,6,0,2,2,5,2,2,0,0,16,0021800835
1627732,Ben,Simmons,1610612755,29,8,3,13,2,2,0,1,0,3,3,7,2,1,2,1,6,0021800835
203516,James,Ennis III,1610612755,17,0,0,5,0,0,0,2,0,2,2,0,4,0,0,0,2,0021800835
1627788,Furkan,Korkmaz,1610612755,16,7,3,5,0,0,1,1,2,4,6,2,0,1,1,0,8,0021800835
1626246,Boban,Marjanovic,1610612755,13,10,5,6,0,0,0,0,1,0,1,1,0,0,0,1,-3,0021800835
203118,Mike,Scott,1610612755,21,7,3,8,0,1,1,3,1,1,2,1,3,2,0,0,21,0021800835
204456,T.J.,McConnell,1610612755,18,13,6,6,0,0,1,1,0,1,1,3,1,3,0,0,17,0021800835
203613,Jonathon,Simmons,1610612755,3,3,1,1,1,1,0,0,0,1,1,2,0,0,0,0,1,0021800835
1628413,Jonah,Bolden,1610612755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800835
101161,Amir,Johnson,1610612755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800835
