personId,firstName,lastName,teamId,min,points,fgm,fga,ftm,fta,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,gameId
202711,Bojan,Bogdanovic,1610612754,29,26,10,18,4,5,2,6,0,3,3,2,1,1,0,0,28,0021800370
201152,Thaddeus,Young,1610612754,30,14,6,10,0,0,2,2,1,6,7,4,4,1,1,1,14,0021800370
1626167,Myles,Turner,1610612754,20,10,4,7,1,2,1,1,0,6,6,0,4,0,1,1,14,0021800370
201936,Tyreke,Evans,1610612754,22,11,2,8,6,6,1,3,0,3,3,3,0,1,3,0,3,0021800370
201954,Darren,Collison,1610612754,26,2,1,5,0,0,0,1,1,2,3,8,1,1,0,0,8,0021800370
202709,Cory,Joseph,1610612754,24,15,7,12,0,1,1,3,2,1,3,2,0,1,1,1,15,0021800370
203926,Doug,McDermott,1610612754,13,7,2,4,2,2,1,2,0,3,3,1,2,0,1,0,10,0021800370
1628388,TJ,Leaf,1610612754,15,8,3,7,2,2,0,1,3,3,6,1,2,0,1,0,6,0021800370
1628988,Aaron,Holiday,1610612754,21,7,3,8,0,0,1,5,1,6,7,3,1,1,0,2,14,0021800370
203124,Kyle,O'Quinn,1610612754,27,12,6,11,0,0,0,1,2,8,10,2,2,2,0,2,8,0021800370
1628410,Edmond,Sumner,1610612754,3,0,0,2,0,0,0,1,1,1,2,0,0,0,1,0,-5,0021800370
1628993,Alize,Johnson,1610612754,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-5,0021800370
203613,Jonathon,Simmons,1610612753,22,2,1,3,0,0,0,0,1,1,2,2,1,0,0,0,-13,0021800370
203932,Aaron,Gordon,1610612753,33,20,8,18,1,3,3,6,4,10,14,4,1,1,2,1,-13,0021800370
202696,Nikola,Vucevic,1610612753,25,22,9,17,3,3,1,4,2,8,10,2,1,0,2,0,-8,0021800370
203095,Evan,Fournier,1610612753,29,9,4,11,0,0,1,5,0,0,0,3,4,0,2,0,-18,0021800370
201571,D.J.,Augustin,1610612753,22,5,2,6,0,0,1,3,0,0,0,2,0,0,2,0,-13,0021800370
1628371,Jonathan,Isaac,1610612753,20,6,2,8,2,3,0,3,1,5,6,0,4,0,2,3,-12,0021800370
1626170,Jerian,Grant,1610612753,25,5,1,2,2,2,1,2,0,3,3,3,3,1,3,0,-9,0021800370
203082,Terrence,Ross,1610612753,26,11,5,10,0,0,1,5,0,2,2,1,3,1,0,0,-19,0021800370
1628964,Mo,Bamba,1610612753,18,4,2,9,0,0,0,4,1,6,7,1,1,0,0,1,-17,0021800370
1626185,Jarell,Martin,1610612753,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0021800370
1628515,Isaiah,Briscoe,1610612753,4,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0021800370
203920,Khem,Birch,1610612753,4,4,1,1,2,2,0,0,0,2,2,0,0,0,0,2,3,0021800370
1628411,Wes,Iwundu,1610612753,4,2,1,2,0,0,0,0,0,0,0,2,0,0,0,0,3,0021800370
