personId,firstName,lastName,teamId,min,points,fgm,fga,ftm,fta,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,gameId
203932,Aaron,Gordon,1610612753,31,10,4,15,0,0,2,6,1,2,3,2,3,0,2,0,-24,0021800397
1628371,Jonathan,Isaac,1610612753,27,4,2,4,0,0,0,2,0,4,4,0,1,1,3,1,-15,0021800397
202696,Nikola,Vucevic,1610612753,25,8,4,15,0,0,0,1,2,14,16,4,1,2,3,1,-14,0021800397
203613,Jonathon,Simmons,1610612753,21,18,7,10,2,2,2,4,0,2,2,0,0,1,1,0,-15,0021800397
201571,D.J.,Augustin,1610612753,24,6,3,8,0,0,0,3,1,2,3,2,1,0,3,0,-17,0021800397
1626170,Jerian,Grant,1610612753,15,3,1,5,0,0,1,4,0,1,1,3,3,2,0,0,-8,0021800397
1628411,Wes,Iwundu,1610612753,28,6,2,7,0,0,2,4,0,4,4,1,2,0,2,0,-11,0021800397
203082,Terrence,Ross,1610612753,23,7,3,11,1,1,0,3,0,1,1,3,2,1,0,0,-16,0021800397
203920,Khem,Birch,1610612753,22,8,4,8,0,0,0,0,3,3,6,1,3,0,1,0,-11,0021800397
1628515,Isaiah,Briscoe,1610612753,8,3,1,3,1,2,0,0,0,1,1,1,0,0,0,0,0,0021800397
1626185,Jarell,Martin,1610612753,5,3,1,1,0,0,1,1,0,0,0,1,0,0,0,0,3,0021800397
1628982,Melvin,Frazier Jr.,1610612753,5,0,0,2,0,0,0,0,0,1,1,0,2,1,0,0,3,0021800397
1628964,Mo,Bamba,1610612753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800397
202083,Wesley,Matthews,1610612742,25,10,3,10,2,3,2,5,1,2,3,2,1,0,0,0,16,0021800397
203084,Harrison,Barnes,1610612742,27,19,7,15,0,0,5,10,1,4,5,0,1,0,2,0,18,0021800397
201599,DeAndre,Jordan,1610612742,27,7,3,7,1,1,0,0,0,9,9,2,1,1,2,2,15,0021800397
1628973,Jalen,Brunson,1610612742,31,17,7,9,2,4,1,2,1,2,3,4,3,1,1,0,16,0021800397
1629029,Luka,Doncic,1610612742,25,7,2,11,3,3,0,5,1,10,11,9,1,1,2,0,16,0021800397
200826,J.J.,Barea,1610612742,16,6,3,9,0,0,0,2,0,3,3,3,0,0,1,0,9,0021800397
1628467,Maxi,Kleber,1610612742,13,2,0,2,2,2,0,1,2,1,3,1,0,0,1,1,10,0021800397
203939,Dwight,Powell,1610612742,20,16,7,12,2,3,0,4,1,3,4,1,3,0,2,0,10,0021800397
1627827,Dorian,Finney-Smith,1610612742,22,9,2,3,4,4,1,2,2,7,9,1,1,2,0,0,9,0021800397
2734,Devin,Harris,1610612742,13,8,1,2,5,5,1,2,0,1,1,3,0,1,0,1,8,0021800397
1629151,Ryan,Broekhoff,1610612742,9,0,0,1,0,0,0,1,0,0,0,2,0,1,1,0,1,0021800397
1626257,Salah,Mejri,1610612742,6,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,-3,0021800397
