personId,firstName,lastName,teamId,min,points,fgm,fga,ftm,fta,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,gameId
203490,Otto,Porter Jr.,1610612741,37,17,6,15,2,2,3,6,0,5,5,4,3,1,1,1,10,0021800875
1628374,Lauri,Markkanen,1610612741,37,25,8,21,5,6,4,10,0,11,11,2,4,1,1,0,2,0021800875
201577,Robin,Lopez,1610612741,31,18,8,13,2,2,0,0,3,3,6,1,2,0,0,3,-3,0021800875
203897,Zach,LaVine,1610612741,33,22,6,14,5,5,5,6,1,3,4,6,1,2,2,0,3,0021800875
1627739,Kris,Dunn,1610612741,29,8,4,9,0,0,0,2,0,3,3,2,1,1,2,0,-1,0021800875
1627789,Timothe,Luwawu-Cabarrot,1610612741,5,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,0021800875
1627782,Wayne,Selden,1610612741,24,6,2,7,2,2,0,3,0,4,4,2,0,0,0,0,-3,0021800875
1627853,Ryan,Arcidiacono,1610612741,19,4,2,3,0,0,0,1,0,1,1,1,4,0,0,0,4,0021800875
1626245,Cristiano,Felicio,1610612741,7,2,1,3,0,0,0,0,1,0,1,0,3,0,1,0,-4,0021800875
1627885,Shaquille,Harrison,1610612741,13,8,3,4,2,2,0,0,1,3,4,0,0,3,1,0,-2,0021800875
1628469,Antonio,Blakeney,1610612741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800875
1628371,Jonathan,Isaac,1610612753,31,4,1,6,1,2,1,2,0,3,3,0,1,2,1,0,-8,0021800875
203932,Aaron,Gordon,1610612753,32,17,7,14,1,4,2,7,0,5,5,4,2,0,4,3,-7,0021800875
202696,Nikola,Vucevic,1610612753,28,19,9,16,1,4,0,1,4,9,13,7,3,2,2,2,4,0021800875
203095,Evan,Fournier,1610612753,37,22,8,17,3,3,3,10,0,3,3,5,2,0,2,0,-12,0021800875
201571,D.J.,Augustin,1610612753,27,14,5,9,0,2,4,5,2,3,5,5,0,0,2,0,1,0021800875
1628515,Isaiah,Briscoe,1610612753,20,10,3,5,4,6,0,1,0,2,2,3,0,0,1,0,0,0021800875
1628411,Wes,Iwundu,1610612753,19,2,1,1,0,0,0,0,0,3,3,0,2,0,1,0,11,0021800875
203082,Terrence,Ross,1610612753,26,15,5,11,1,1,4,8,0,7,7,1,0,0,1,0,6,0021800875
203920,Khem,Birch,1610612753,16,6,2,2,2,2,0,0,2,3,5,0,4,0,0,1,0,0021800875
1626170,Jerian,Grant,1610612753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800875
1628518,Amile,Jefferson,1610612753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800875
1626185,Jarell,Martin,1610612753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800875
