personId,firstName,lastName,teamId,min,points,fgm,fga,ftm,fta,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,gameId
1629066,Rodions,Kurucs,1610612751,16,5,2,4,0,0,1,1,0,2,2,2,2,0,0,0,-6,0021800842
1626203,Treveon,Graham,1610612751,20,6,2,6,0,0,2,6,0,1,1,1,4,0,0,0,-12,0021800842
1628386,Jarrett,Allen,1610612751,29,15,6,10,2,3,1,2,0,3,3,2,3,0,0,1,-1,0021800842
203925,Joe,Harris,1610612751,29,24,7,9,3,3,7,8,0,2,2,4,0,0,1,0,-3,0021800842
1626156,D'Angelo,Russell,1610612751,33,28,10,22,6,8,2,7,1,6,7,14,0,1,4,0,0,0021800842
1626178,Rondae,Hollis-Jefferson,1610612751,21,3,1,6,1,2,0,1,2,4,6,1,2,0,0,0,7,0021800842
203459,Allen,Crabbe,1610612751,31,22,8,13,0,0,6,10,0,3,3,1,1,1,2,0,4,0021800842
203894,Shabazz,Napier,1610612751,16,10,4,4,1,2,1,1,1,0,1,4,0,2,0,1,-5,0021800842
202334,Ed,Davis,1610612751,18,6,3,3,0,0,0,0,1,5,6,0,3,1,2,0,-1,0021800842
1627747,Caris,LeVert,1610612751,22,6,3,11,0,0,0,5,0,0,0,4,3,1,5,1,7,0021800842
201960,DeMarre,Carroll,1610612751,,,,,,,,,,,,,,,,,,0021800842
202695,Kawhi,Leonard,1610612761,34,30,10,20,9,9,1,5,1,1,2,8,2,1,3,0,-7,0021800842
1627783,Pascal,Siakam,1610612761,35,17,6,13,5,6,0,1,0,4,4,4,2,2,3,0,-1,0021800842
201586,Serge,Ibaka,1610612761,25,18,9,13,0,0,0,2,2,10,12,1,1,1,0,2,-2,0021800842
201980,Danny,Green,1610612761,32,9,3,8,0,0,3,8,0,4,4,5,3,3,2,0,9,0021800842
200768,Kyle,Lowry,1610612761,34,13,5,9,0,0,3,7,0,6,6,7,4,0,0,0,0,0021800842
1627775,Patrick,McCaw,1610612761,20,13,5,9,2,2,1,4,1,2,3,1,0,2,0,0,0,0021800842
1626181,Norman,Powell,1610612761,17,5,2,6,1,1,0,2,0,1,1,3,0,0,2,0,7,0021800842
201188,Marc,Gasol,1610612761,22,16,7,9,1,2,1,1,0,6,6,2,2,1,2,1,4,0021800842
1628384,OG,Anunoby,1610612761,17,6,3,5,0,0,0,1,1,1,2,1,2,2,1,0,0,0021800842
1628449,Chris,Boucher,1610612761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800842
1628070,Jordan,Loyd,1610612761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800842
1626259,Malcolm,Miller,1610612761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800842
