personId,firstName,lastName,teamId,min,points,fgm,fga,ftm,fta,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,gameId
1628411,Wes,Iwundu,1610612753,13,2,0,4,2,2,0,0,0,1,1,0,2,0,1,1,8,0021800137
203932,Aaron,Gordon,1610612753,41,26,11,20,0,0,4,10,2,6,8,0,3,1,1,0,0,0021800137
202696,Nikola,Vucevic,1610612753,32,13,6,11,1,3,0,1,0,8,8,3,1,1,0,1,7,0021800137
203095,Evan,Fournier,1610612753,32,16,7,15,0,0,2,8,0,1,1,7,1,3,3,0,9,0021800137
201571,D.J.,Augustin,1610612753,32,18,6,10,5,6,1,3,3,2,5,7,3,0,1,0,8,0021800137
203082,Terrence,Ross,1610612753,31,17,6,12,2,2,3,6,0,3,3,4,3,0,0,0,1,0021800137
1626185,Jarell,Martin,1610612753,6,5,1,2,3,3,0,0,0,2,2,0,2,0,1,0,7,0021800137
1626170,Jerian,Grant,1610612753,15,8,3,4,0,2,2,2,0,2,2,5,1,1,0,0,-1,0021800137
1628964,Mo,Bamba,1610612753,15,12,6,11,0,0,0,1,5,6,11,1,4,0,0,1,0,0021800137
203613,Jonathon,Simmons,1610612753,17,0,0,2,0,0,0,1,1,1,2,2,2,1,1,1,-4,0021800137
203920,Khem,Birch,1610612753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800137
1628515,Isaiah,Briscoe,1610612753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800137
1628982,Melvin,Frazier Jr.,1610612753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800137
201967,Dante,Cunningham,1610612759,16,0,0,3,0,0,0,1,1,2,3,3,3,0,0,2,-8,0021800137
202722,Davis,Bertans,1610612759,25,8,3,10,0,0,2,7,1,4,5,0,0,0,1,0,-12,0021800137
200746,LaMarcus,Aldridge,1610612759,33,14,6,14,2,2,0,1,1,5,6,3,1,0,4,0,-8,0021800137
201942,DeMar,DeRozan,1610612759,32,25,9,16,6,6,1,4,1,6,7,5,2,2,4,0,0,0021800137
1627854,Bryn,Forbes,1610612759,25,13,5,13,1,1,2,5,0,1,1,2,4,0,1,0,4,0021800137
201988,Patty,Mills,1610612759,32,16,6,14,0,0,4,9,0,3,3,3,2,1,0,0,-9,0021800137
202347,Quincy,Pondexter,1610612759,11,5,1,2,3,3,0,1,0,0,0,1,1,0,1,0,6,0021800137
2200,Pau,Gasol,1610612759,23,12,4,7,3,6,1,2,1,7,8,5,3,0,0,2,3,0021800137
201158,Marco,Belinelli,1610612759,21,15,4,9,5,5,2,5,0,3,3,2,2,0,0,0,-12,0021800137
1627751,Jakob,Poeltl,1610612759,14,2,0,0,2,2,0,0,4,1,5,1,2,0,0,1,-5,0021800137
1629002,Chimezie,Metu,1610612759,3,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,6,0021800137
1629234,Drew,Eubanks,1610612759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800137
200752,Rudy,Gay,1610612759,,,,,,,,,,,,,,,,,,0021800137
