personId,firstName,lastName,teamId,min,points,fgm,fga,ftm,fta,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,gameId
1628983,Shai,Gilgeous-Alexander,1610612746,19,6,2,3,2,2,0,1,0,3,3,3,4,0,1,0,-6,0041800145
201568,Danilo,Gallinari,1610612746,41,26,9,22,5,6,3,11,3,4,7,2,2,1,1,0,12,0041800145
203210,JaMychal,Green,1610612746,27,15,5,9,2,2,3,6,0,4,4,2,6,0,0,0,11,0041800145
1629013,Landry,Shamet,1610612746,36,6,1,4,3,3,1,3,0,3,3,3,3,0,1,0,17,0041800145
201976,Patrick,Beverley,1610612746,36,17,6,13,0,0,5,11,3,11,14,4,2,1,1,0,3,0041800145
101150,Lou,Williams,1610612746,34,33,12,19,8,9,1,2,1,3,4,10,1,0,5,0,1,0041800145
1626149,Montrezl,Harrell,1610612746,27,24,11,14,2,2,0,0,1,4,5,2,2,0,1,1,-7,0041800145
1629010,Jerome,Robinson,1610612746,5,0,0,1,0,0,0,0,1,1,2,2,3,0,0,0,0,0041800145
202066,Garrett,Temple,1610612746,10,2,0,0,2,2,0,0,0,0,0,1,0,1,0,0,9,0041800145
201163,Wilson,Chandler,1610612746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0041800145
1628414,Sindarius,Thornwell,1610612746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0041800145
1627820,Tyrone,Wallace,1610612746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0041800145
1627826,Ivica,Zubac,1610612746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0041800145
201142,Kevin,Durant,1610612744,41,45,14,26,12,12,5,12,0,6,6,6,4,2,1,1,2,0041800145
203110,Draymond,Green,1610612744,37,7,3,7,1,2,0,2,2,5,7,6,5,2,2,0,-3,0041800145
101106,Andrew,Bogut,1610612744,16,6,3,5,0,0,0,0,2,3,5,2,2,1,0,0,-15,0041800145
202691,Klay,Thompson,1610612744,37,22,9,20,0,0,4,11,0,3,3,2,3,0,2,0,-13,0041800145
201939,Stephen,Curry,1610612744,38,24,7,15,6,6,4,5,0,3,3,4,2,0,3,1,-3,0041800145
1626172,Kevon,Looney,1610612744,21,5,2,8,1,2,0,0,6,1,7,1,3,0,0,0,15,0041800145
2738,Andre,Iguodala,1610612744,27,3,1,7,0,0,1,5,3,1,4,8,1,2,0,1,-4,0041800145
1628035,Alfonzo,McKinnie,1610612744,8,7,3,6,0,0,1,4,0,2,2,0,2,0,0,0,-10,0041800145
2733,Shaun,Livingston,1610612744,11,2,1,2,0,0,0,0,2,0,2,2,1,0,0,0,-9,0041800145
1628395,Jordan,Bell,1610612744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0041800145
1626188,Quinn,Cook,1610612744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0041800145
1628980,Jacob,Evans,1610612744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0041800145
201973,Jonas,Jerebko,1610612744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0041800145
