personId,firstName,lastName,teamId,min,points,fgm,fga,ftm,fta,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,gameId
203090,Maurice,Harkless,1610612757,33,11,5,10,0,0,1,2,1,8,9,0,4,2,1,2,13,0021800552
202329,Al-Farouq,Aminu,1610612757,37,13,4,9,2,2,3,5,1,7,8,2,3,0,1,2,8,0021800552
203994,Jusuf,Nurkic,1610612757,37,24,5,10,14,16,0,0,5,18,23,7,4,5,4,5,8,0021800552
203468,CJ,McCollum,1610612757,38,16,8,19,0,2,0,5,0,1,1,2,3,0,1,1,11,0021800552
203081,Damian,Lillard,1610612757,41,25,8,21,8,8,1,9,1,5,6,6,0,1,5,0,10,0021800552
202323,Evan,Turner,1610612757,14,2,1,1,0,0,0,0,0,1,1,1,0,0,1,0,-6,0021800552
203552,Seth,Curry,1610612757,21,18,6,9,2,2,4,6,0,1,1,1,1,3,1,0,-5,0021800552
203086,Meyers,Leonard,1610612757,15,0,0,2,0,0,0,0,1,2,3,1,1,0,2,0,-3,0021800552
1628380,Zach,Collins,1610612757,15,4,2,7,0,0,0,3,1,3,4,1,1,0,1,0,-6,0021800552
203917,Nik,Stauskas,1610612757,9,0,0,2,0,0,0,2,0,0,0,1,2,0,1,0,-5,0021800552
1627735,Wade,Baldwin IV,1610612757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800552
1627774,Jake,Layman,1610612757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800552
1629018,Gary,Trent Jr.,1610612757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800552
202697,Iman,Shumpert,1610612758,24,9,4,11,0,0,1,4,0,1,1,3,1,3,0,1,-6,0021800552
202357,Nemanja,Bjelica,1610612758,35,14,4,12,5,7,1,5,4,11,15,2,6,0,2,1,0,0021800552
1626161,Willie,Cauley-Stein,1610612758,32,5,2,14,1,2,0,0,5,6,11,3,1,1,0,0,2,0021800552
1627741,Buddy,Hield,1610612758,39,27,11,23,0,0,5,8,2,3,5,4,4,0,2,1,-10,0021800552
1628368,De'Aaron,Fox,1610612758,37,13,6,19,1,1,0,1,1,2,3,2,4,2,2,0,-9,0021800552
201585,Kosta,Koufos,1610612758,7,2,1,2,0,0,0,0,0,3,3,1,2,0,1,0,-12,0021800552
203992,Bogdan,Bogdanovic,1610612758,35,19,7,19,2,2,3,11,0,5,5,5,3,3,4,0,-9,0021800552
1628382,Justin,Jackson,1610612758,23,5,2,6,0,0,1,4,1,2,3,2,2,2,1,0,-2,0021800552
1627812,Yogi,Ferrell,1610612758,14,8,4,4,0,0,0,0,0,0,0,2,0,1,0,0,8,0021800552
1628385,Harry,Giles III,1610612758,13,6,3,5,0,0,0,0,1,6,7,0,0,1,1,1,13,0021800552
1627746,Skal,Labissiere,1610612758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800552
1628412,Frank,Mason,1610612758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800552
203463,Ben,McLemore,1610612758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800552
