personId,firstName,lastName,teamId,min,points,fgm,fga,ftm,fta,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,gameId
203496,Robert,Covington,1610612750,38,24,8,12,4,5,4,7,0,7,7,1,4,2,0,2,8,0021800295
201959,Taj,Gibson,1610612750,29,7,2,6,3,4,0,0,4,4,8,2,4,1,3,0,-8,0021800295
1626157,Karl-Anthony,Towns,1610612750,38,21,9,19,1,2,2,7,2,8,10,1,0,1,2,0,-7,0021800295
203952,Andrew,Wiggins,1610612750,28,11,4,11,2,2,1,4,0,3,3,3,0,2,0,2,1,0021800295
201952,Jeff,Teague,1610612750,36,13,5,12,3,5,0,2,0,2,2,6,4,1,3,3,-5,0021800295
201565,Derrick,Rose,1610612750,29,12,6,13,0,0,0,2,0,1,1,4,0,0,0,1,5,0021800295
203967,Dario,Saric,1610612750,18,9,4,10,1,1,0,3,1,5,6,0,3,0,0,0,15,0021800295
1626145,Tyus,Jones,1610612750,11,3,1,1,0,0,1,1,0,0,0,1,2,1,0,0,12,0021800295
203476,Gorgui,Dieng,1610612750,9,2,1,2,0,0,0,0,1,1,2,0,1,0,0,0,14,0021800295
2736,Luol,Deng,1610612750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800295
203263,James,Nunnally,1610612750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800295
1629006,Josh,Okogie,1610612750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800295
201229,Anthony,Tolliver,1610612750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800295
1626224,Cedi,Osman,1610612739,30,8,3,12,0,0,2,6,0,6,6,2,4,1,1,0,-13,0021800295
1626204,Larry,Nance Jr.,1610612739,38,12,5,10,2,2,0,2,2,6,8,7,4,1,2,2,0,0021800295
202684,Tristan,Thompson,1610612739,39,16,7,10,2,2,0,0,4,7,11,3,3,1,4,1,9,0021800295
203918,Rodney,Hood,1610612739,35,20,8,16,2,3,2,7,1,1,2,3,2,1,3,0,2,0021800295
1629012,Collin,Sexton,1610612739,38,11,5,19,1,1,0,3,1,6,7,4,2,0,4,0,8,0021800295
203903,Jordan,Clarkson,1610612739,21,4,1,5,2,2,0,4,0,2,2,2,0,0,2,0,-11,0021800295
1626150,Andrew,Harrison,1610612739,9,2,0,1,2,2,0,0,0,0,0,1,1,0,0,0,-15,0021800295
2594,Kyle,Korver,1610612739,21,22,7,12,2,2,6,9,0,2,2,2,2,0,0,0,-7,0021800295
1627790,Ante,Zizic,1610612739,4,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,-8,0021800295
101112,Channing,Frye,1610612739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021800295
201588,George,Hill,1610612739,,,,,,,,,,,,,,,,,,0021800295
