id,game_url,season_id,date,time,arena,city,state,country,home_start_date,home_start_time,visitor_start_date,visitor_start_time,previewAvailable,recapAvailable,notebookAvailable,tnt_ot,buzzerBeater,ticket.ticket_link,period_time.period_value,period_time.period_status,period_time.game_status,period_time.game_clock,period_time.total_periods,period_time.period_name,lp.lp_video,lp.condensed_bb,lp.visitor.audio.ENG,lp.visitor.audio.SPA,lp.visitor.video.avl,lp.visitor.video.onAir,lp.visitor.video.archBB,lp.home.audio.ENG,lp.home.audio.SPA,lp.home.video.avl,lp.home.video.onAir,lp.home.video.archBB,dl.link,broadcasters.radio.broadcaster,broadcasters.tv.broadcaster,visitor.id,visitor.team_key,visitor.city,visitor.abbreviation,visitor.nickname,visitor.url_name,visitor.team_code,visitor.score,home.id,home.team_key,home.city,home.abbreviation,home.nickname,home.url_name,home.team_code,home.score,visitor.linescores.period,home.linescores.period
0021800391,20181210/WASIND,22018,20181210,1900,Bankers Life Fieldhouse,Indianapolis,IN,USA,20181210,1900,20181210,1900,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021800391/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': '1500 AM'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': '1070 The Fan/107.5 FM'}]","[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Indiana'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'NBC Sports Washington'}]",1610612764,WAS,Washington,WAS,Wizards,wizards,wizards,101,1610612754,IND,Indiana,IND,Pacers,pacers,pacers,109,,
0021800392,20181210/DETPHI,22018,20181210,1900,Wells Fargo Center,Philadelphia,PA,USA,20181210,1900,20181210,1900,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021800392/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': '950 AM'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': '97.5 The Fanatic'}]","[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'NBC Sports Philadelphia'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports Detroit'}]",1610612765,DET,Detroit,DET,Pistons,pistons,pistons,102,1610612755,PHI,Philadelphia,PHI,76ers,sixers,sixers,116,,
0021800393,20181210/NOPBOS,22018,20181210,1930,TD Garden,Boston,MA,USA,20181210,1930,20181210,1830,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021800393/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'WRNO 99.5FM'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': '98.5 The Sports Hub'}]","[{'scope': 'natl', 'home_visitor': 'natl', 'display_name': 'NBA TV'}, {'scope': 'can', 'home_visitor': 'can', 'display_name': 'SN1'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'NBC Sports Boston'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports New Orleans'}]",1610612740,NOP,New Orleans,NOP,Pelicans,pelicans,pelicans,100,1610612738,BOS,Boston,BOS,Celtics,celtics,celtics,113,,
0021800394,20181210/SACCHI,22018,20181210,2000,United Center,Chicago,IL,USA,20181210,1900,20181210,1700,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021800394/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'KHTK Sports 1140 AM'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'WSCR-AM 670 / UNIVISION CHICAGO 1200 AM'}]","[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'NBC Sports Chicago'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'NBC Sports California'}]",1610612758,SAC,Sacramento,SAC,Kings,kings,kings,108,1610612741,CHI,Chicago,CHI,Bulls,bulls,bulls,89,,
0021800395,20181210/CLEMIL,22018,20181210,2000,Fiserv Forum,Milwaukee,WI,USA,20181210,1900,20181210,2000,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021800395/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'WTAM 1100 / 100.7 WMMS / 87.7 FM (ESP)'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': '620 AM/103.3 FM WTMJ'}]","[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Wisconsin'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports Ohio'}]",1610612739,CLE,Cleveland,CLE,Cavaliers,cavaliers,cavaliers,92,1610612749,MIL,Milwaukee,MIL,Bucks,bucks,bucks,108,,
0021800396,20181210/UTAOKC,22018,20181210,2000,Chesapeake Energy Arena,Oklahoma City,OK,USA,20181210,1900,20181210,1800,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021800396/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': '97.5 FM | 1280 AM The Zone'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'WWLS 98.1FM OKC / 930AM (ESP)'}]","[{'scope': 'can', 'home_visitor': 'can', 'display_name': 'TSN2'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Oklahoma'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'AT&T Sportsnet - Rocky Mountain'}]",1610612762,UTA,Utah,UTA,Jazz,jazz,jazz,113,1610612760,OKC,Oklahoma City,OKC,Thunder,thunder,thunder,122,,
0021800397,20181210/ORLDAL,22018,20181210,2030,American Airlines Center,Dallas,TX,USA,20181210,1930,20181210,2030,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021800397/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'FM 96.9 The Game'}]","[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Southwest - Dallas'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports Florida'}]",1610612753,ORL,Orlando,ORL,Magic,magic,magic,76,1610612742,DAL,Dallas,DAL,Mavericks,mavericks,mavericks,101,,
0021800398,20181210/MEMDEN,22018,20181210,2100,Pepsi Center,Denver,CO,USA,20181210,1900,20181210,2000,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021800398/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'KKSE-FM 92.5/KKSE 950'}]","[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'Altitude'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports Southeast - Memphis'}]",1610612763,MEM,Memphis,MEM,Grizzlies,grizzlies,grizzlies,99,1610612743,DEN,Denver,DEN,Nuggets,nuggets,nuggets,105,,
0021800399,20181210/LACPHX,22018,20181210,2100,Talking Stick Resort Arena,Phoenix,AZ,USA,20181210,1900,20181210,1800,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021800399/WEB_MWEB,5,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'AM 570 LA Sports'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'Arizona Sports 98.7 FM'}]","[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Arizona'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports Prime Ticket'}]",1610612746,LAC,LA,LAC,Clippers,clippers,clippers,123,1610612756,PHX,Phoenix,PHX,Suns,suns,suns,119,,
0021800400,20181210/MINGSW,22018,20181210,2230,ORACLE Arena,Oakland,CA,USA,20181210,1930,20181210,2130,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021800400/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': '830 WCCO'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': '95.7 The Game'}]","[{'scope': 'can', 'home_visitor': 'can', 'display_name': 'TSN2'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'NBC Sports Bay Area'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports North'}]",1610612750,MIN,Minnesota,MIN,Timberwolves,timberwolves,timberwolves,108,1610612744,GSW,Golden State,GSW,Warriors,warriors,warriors,116,,
0021800401,20181210/MIALAL,22018,20181210,2230,Staples Center,Los Angeles,CA,USA,20181210,1930,20181210,2230,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021800401/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': '790 The Ticket / S: WAQI 710 AM'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': '710 AM ESPN / 1330 AM ESPN DEPORTES'}]","[{'scope': 'natl', 'home_visitor': 'natl', 'display_name': 'NBA TV'}, {'scope': 'can', 'home_visitor': 'can', 'display_name': 'SN1'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'Spectrum SportsNet'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports Sun'}]",1610612748,MIA,Miami,MIA,Heat,heat,heat,105,1610612747,LAL,Los Angeles,LAL,Lakers,lakers,lakers,108,"[{'period_value': '1', 'period_name': 'Q1', 'score': '23'}, {'period_value': '2', 'period_name': 'Q2', 'score': '35'}, {'period_value': '3', 'period_name': 'Q3', 'score': '25'}, {'period_value': '4', 'period_name': 'Q4', 'score': '22'}]","[{'period_value': '1', 'period_name': 'Q1', 'score': '27'}, {'period_value': '2', 'period_name': 'Q2', 'score': '28'}, {'period_value': '3', 'period_name': 'Q3', 'score': '29'}, {'period_value': '4', 'period_name': 'Q4', 'score': '24'}]"
