personId,lastName,firstName,pos,heightFeet,heightInches
1962937809,Magnay,Will,,-,-
101133,Mahinmi,Ian,C,6,11
27023,Majok,Majok,C,-,-
1627748,Maker,Thon,C-F,7,1
1626246,Marjanovic,Boban,C,7,3
1628374,Markkanen,Lauri,F,7,0
1626185,Martin,Jarell,F,6,10
1627383,Martinez,Luke,G,-,-
1628412,Mason,Frank,G,5,11
1628493,Mathiang,Mangok,F-C,6,10
202083,Matthews,Wesley,G-F,6,5
201601,Mbah a Moute,Luc,F,6,8
1627775,McCaw,Patrick,G,6,7
203468,McCollum,CJ,G,6,3
204456,McConnell,T.J.,G,6,2
1628571,McCree,Erik,F,6,8
1626191,McCullough,Chris,F,6,9
203926,McDermott,Doug,F,6,8
201580,McGee,JaVale,C,7,0
203585,McGruder,Rodney,G-F,6,4
1628035,McKinnie,Alfonzo,F,6,8
203463,McLemore,Ben,G,6,5
201975,Meeks,Jodie,G,6,4
1626257,Mejri,Salah,C,7,2
1626175,Mickey,Jordan,C-F,6,8
203114,Middleton,Khris,F,6,8
101139,Miles,CJ,F-G,6,6
203121,Miller,Darius,F,6,8
1626259,Miller,Malcolm,F,6,7
201988,Mills,Patty,G,6,0
200794,Millsap,Paul,F,6,8
27013,Mingxin,Ju,F,-,-
1962937771,Minnerath,Nick,,-,-
202703,Mirotic,Nikola,F,6,10
1628378,Mitchell,Donovan,G,6,3
27026,Moller,Craig,F,-,-
1628370,Monk,Malik,G,6,3
202328,Monroe,Greg,C-F,6,11
1628500,Moore,Ben,F,6,8
202734,Moore,E'Twaun,F-G,6,4
203961,Moreland,Eric,F-C,6,10
1628537,Morris,Jaylen,G,6,5
202694,Morris,Marcus,F,6,9
202693,Morris,Markieff,F,6,10
1628420,Morris,Monte,G,6,3
1628405,Motley,Johnathan,F,6,10
202389,Mozgov,Timofey,C,7,1
1626144,Mudiay,Emmanuel,G,6,5
203498,Muhammad,Shabazz,G-F,6,6
204098,Munford,Xavier,G,6,4
1627749,Murray,Dejounte,G,6,5
1627750,Murray,Jamal,G,6,4
203488,Muscala,Mike,F-C,6,11
1627846,Nader,Abdel,F,6,6
1626204,Nance Jr.,Larry,F,6,9
203894,Napier,Shabazz,G,6,1
2749,Nelson,Jameer,G,6,0
2403,,Nene,C-F,6,11
203526,Neto,Raul,G,6,1
201194,Newley,Brad,F,-,-
1962937734,Newley,Brad,,-,-
1627777,Niang,Georges,F,6,6
201149,Noah,Joakim,C,6,11
203457,Noel,Nerlens,C,6,11
203512,Nogueira,Lucas,C,7,0
1717,Nowitzki,Dirk,C-F,7,0
1628373,Ntilikina,Frank,G,6,5
203994,Nurkic,Jusuf,C,7,0
1628021,Nwaba,David,F,6,4
1626220,O'Neale,Royce,F,6,6
203124,O'Quinn,Kyle,C-F,6,10
1628400,Ojeleye,Semi,F,6,7
2731,Okafor,Emeka,C,6,10
1626143,Okafor,Jahlil,C,6,11
203506,Oladipo,Victor,G,6,4
203482,Olynyk,Kelly,F-C,7,0
1627778,Onuaku,Chinanu,C,6,10
1626224,Osman,Cedi,F-G,6,8
1626162,Oubre Jr.,Kelly,F,6,7
2585,Pachulia,Zaza,C,6,11
1627779,Paige,Marcus,G,6,0
1627834,Papagiannis,Georgios,C,7,1
203953,Parker,Jabari,F,6,8
2225,Parker,Tony,G,6,2
202718,Parsons,Chandler,F,6,10
202335,Patterson,Patrick,F,6,9
1628383,Patton,Justin,C,7,0
203464,Paul,Brandon,G,6,4
101108,Paul,Chris,G,6,0
1626166,Payne,Cameron,G,6,3
203901,Payton,Elfrid,G,6,4
1627780,Payton II,Gary,G,6,3
1962937761,Peng,Yan,,-,-
2570,Perkins,Kendrick,C,6,10
1628409,Peters,Alec,F,6,9
27015,Petrie,Anthony,F,-,-
27030,Pineau,Dane,F,-,-
1962937740,Pineau,Dane,,-,-
1627850,Plumlee,Marshall,C,7,0
203486,Plumlee,Mason,C-F,6,11
203101,Plumlee,Miles,C-F,6,11
1627751,Poeltl,Jakob,C,7,0
203490,Porter Jr.,Otto,F,6,8
1626171,Portis,Bobby,F,6,11
204001,Porzingis,Kristaps,F-C,7,3
203939,Powell,Dwight,C-F,6,11
1626181,Powell,Norman,F-G,6,4
1627816,Poythress,Alex,F,6,9
204062,Prather,Casey,F,-,-
1627752,Prince,Taurean,F,6,8
1628681,Purvis,Rodney,G,6,4
1627753,Qi,Zhou,F-C,7,1
1628397,Rabb,Ivan,F,6,10
203944,Randle,Julius,F-C,6,9
2216,Randolph,Zach,F,6,9
200755,Redick,JJ,G-F,6,4
1628432,Reed,Davon,G,6,6
1626196,Richardson,Josh,F,6,6
1627781,Richardson,Malachi,G,6,6
203085,Rivers,Austin,G,6,4
203460,Roberson,Andre,G,6,7
1628421,Robinson,Devin,F,6,8
203922,Robinson III,Glenn,G-F,6,7
52526,Rodriguez,Angel,G,-,-
200765,Rondo,Rajon,G,6,1
201565,Rose,Derrick,G,6,3
203082,Ross,Terrence,G-F,6,7
1626179,Rozier,Terry,G,6,2
201937,Rubio,Ricky,G,6,4
1626156,Russell,D'Angelo,G,6,5
1627734,Sabonis,Domantas,C-F,6,10
27002,Sakakini,Sani,F,-,-
203960,Sampson,JaKarr,F,6,9
202396,Samuels,Samardo,C,-,-
203967,Saric,Dario,F,6,10
203107,Satoransky,Tomas,G-F,6,7
203471,Schroder,Dennis,G,6,1
203118,Scott,Mike,F,6,8
200757,Sefolosha,Thabo,F,6,7
1627782,Selden,Wayne,G-F,6,5
201196,Sessions,Ramon,G,6,3
1962937730,Shi,Jun,,-,-
1962937787,Short,Sam,,-,-
202697,Shumpert,Iman,G,6,5
1627783,Siakam,Pascal,F,6,9
202918,Silas,Xavier,G,6,5
1627732,Simmons,Ben,G-F,6,10
203613,Simmons,Jonathon,F,6,6
1628424,Simmons,Kobi,G,6,4
1628124,Singh,Amritpal,C,-,-
1962937741,Singh,Amritpal,,-,-
202713,Singler,Kyle,F,6,8
203935,Smart,Marcus,G,6,4
202397,Smith,Ish,G,6,0
201160,Smith,Jason,F-C,7,0
2747,Smith,JR,G-F,6,6
1628372,Smith Jr.,Dennis,G,6,3
7021,Smith-Milner,Tohi,F,-,-
203503,Snell,Tony,G,6,7
201578,Speights,Marreese,F-C,6,10
203917,Stauskas,Nik,G,6,6
202362,Stephenson,Lance,G,6,6
7020,Stith,Dillon,F,-,-
204065,Stockton,David,G,5,11
202933,Stone,Julyan,G,6,6
1628410,Sumner,Edmond,G,6,5
1628403,Swanigan,Caleb,F-C,6,8
1628369,Tatum,Jayson,F,6,8
1627819,Taylor,Isaiah,G,6,3
201952,Teague,Jeff,G,6,2
203104,Teague,Marquis,G,6,2
202066,Temple,Garrett,F-G,6,6
1628462,Teodosic,Milos,G,6,5
27019,Te Rangi,Reuben,F,-,-
1891,Terry,Jason,G,6,2
1628464,Theis,Daniel,F-C,6,9
202738,Thomas,Isaiah,G,5,9
202498,Thomas,Lance,F,6,8
202691,Thompson,Klay,G,6,7
202684,Thompson,Tristan,C-F,6,9
1628414,Thornwell,Sindarius,G,6,5
27031,Thoseby,Adam,G,-,-
1962937742,Thoseby,Adam,,-,-
201229,Tolliver,Anthony,F,6,8
1962937767,Tong,Wang,,-,-
1626157,Towns,Karl-Anthony,C,7,0
44839,Trice,Travis,PG,-,-
200782,Tucker,PJ,F,6,6
202323,Turner,Evan,F-G,6,7
1626167,Turner,Myles,C,6,11
202327,Udoh,Ekpe,C-F,6,10
1627755,Ulis,Tyler,G,5,10
202685,Valanciunas,Jonas,C,7,0
1627756,Valentine,Denzel,F,6,6
1627832,VanVleet,Fred,G,6,0
203943,Vonleh,Noah,F,6,9
202696,Vucevic,Nikola,C,7,0
2548,Wade,Dwyane,G,6,4
203079,Waiters,Dion,G,6,4
202689,Walker,Kemba,G,6,1
202322,Wall,John,G,6,4
1627820,Wallace,Tyrone,G,6,5
1628476,Walton Jr.,Derrick,G,6,1
203810,Ware,Casper,G,-,-
203933,Warren,TJ,F,6,8
204037,Wear,Travis,F,6,10
1627821,Webb III,James,F,6,9
1627362,Weber,Briante,G,6,2
1962937773,Wenting,Tseng,,-,-
27024,Wesley,Tai,F,-,-
2561,West,David,F,6,9
201566,Westbrook,Russell,G,6,3
1628401,White,Derrick,G,6,4
1627855,White,Okaro,F,6,8
1627785,Whitehead,Isaiah,G,6,4
1628510,White III,Andrew,F,6,7
202355,Whiteside,Hassan,C,7,0
203952,Wiggins,Andrew,F,6,8
203912,Wilcox,CJ,G,6,5
1626210,Williams,Alan,F-C,6,8
203710,Williams,C.J.,F-G,6,5
101150,Williams,Lou,G,6,1
101107,Williams,Marvin,F,6,9
1627786,Williams,Troy,F,6,7
1628391,Wilson,D.J.,F,6,10
