gameId,seasonStageId,startDateEastern,period.current,period.type,period.maxRegular,hTeam.teamId,hTeam.score,vTeam.teamId,vTeam.score
0011900001,1,20190930,4,0,4,1610612745,140,12329,71
0011900002,1,20191004,4,0,4,1610612746,96,1610612745,109
0011900003,1,20191004,5,0,4,1610612758,131,1610612754,132
0011900004,1,20191004,4,0,4,1610612751,137,12332,89
0011900005,1,20191005,4,0,4,1610612754,130,1610612758,106
0011900006,1,20191005,4,0,4,1610612744,101,1610612747,123
0011900007,1,20191005,4,0,4,1610612759,89,1610612753,125
0011900008,1,20191005,4,0,4,1610612762,133,15019,81
0011900009,1,20191006,4,0,4,1610612763,123,93,88
0011900010,1,20191006,4,0,4,1610612738,107,1610612766,106
0011900011,1,20191006,4,0,4,1610612746,127,12329,87
0011900012,1,20191007,4,0,4,1610612739,120,12330,89
0011900013,1,20191007,4,0,4,1610612765,91,1610612753,115
0011900014,1,20191007,4,0,4,1610612764,99,1610612752,104
0011900015,1,20191007,4,0,4,1610612737,109,1610612740,133
0011900016,1,20191007,4,0,4,1610612741,112,1610612749,122
0011900017,1,20191008,4,0,4,1610612761,134,1610612745,129
0011900018,1,20191008,4,0,4,1610612755,144,15018,86
0011900019,1,20191008,4,0,4,1610612748,107,1610612759,89
0011900020,1,20191008,4,0,4,1610612763,108,15020,94
0011900021,1,20191008,4,0,4,1610612760,119,1610612742,104
0011900022,1,20191008,4,0,4,1610612756,111,1610612750,106
0011900023,1,20191008,4,0,4,1610612757,94,1610612743,105
0011900024,1,20191009,4,0,4,1610612765,124,1610612742,117
0011900025,1,20191009,4,0,4,1610612764,137,15018,98
0011900026,1,20191009,4,0,4,1610612737,88,1610612753,97
0011900027,1,20191009,4,0,4,1610612766,94,1610612748,108
0011900028,1,20191009,4,0,4,1610612741,125,1610612740,127
0011900029,1,20191009,4,0,4,1610612749,133,1610612762,99
0011900030,1,20191010,4,0,4,1610612745,118,1610612761,111
0011900031,1,20191010,4,0,4,1610612747,111,1610612751,114
0011900032,1,20191010,4,0,4,1610612760,110,15020,84
0011900033,1,20191010,4,0,4,1610612757,104,93,68
0011900034,1,20191010,4,0,4,1610612758,105,1610612756,88
0011900035,1,20191010,4,0,4,1610612744,143,1610612750,123
0011900036,1,20191010,4,0,4,1610612746,91,1610612743,111
0011900037,1,20191011,4,0,4,1610612765,109,1610612739,105
0011900038,1,20191011,4,0,4,1610612754,105,1610612741,87
0011900039,1,20191011,4,0,4,1610612753,75,1610612738,100
0011900040,1,20191011,4,0,4,1610612766,87,1610612755,100
0011900041,1,20191011,4,0,4,1610612752,99,1610612764,115
0011900042,1,20191011,4,0,4,1610612740,128,1610612762,127
0011900043,1,20191011,4,0,4,1610612742,111,1610612749,118
0011900044,1,20191012,4,0,4,1610612751,91,1610612747,77
0011900045,1,20191012,4,0,4,1610612757,118,1610612756,134
0011900046,1,20191013,4,0,4,1610612738,118,1610612739,72
0011900047,1,20191013,4,0,4,1610612746,118,15016,100
0011900048,1,20191013,4,0,4,1610612759,114,1610612740,123
0011900049,1,20191013,4,0,4,1610612753,94,1610612755,126
0011900050,1,20191013,4,0,4,1610612761,91,1610612741,105
0011900051,1,20191013,4,0,4,1610612764,108,1610612749,115
0011900052,1,20191013,4,0,4,1610612750,131,93,101
0011900053,1,20191014,4,0,4,1610612748,120,1610612737,87
0011900054,1,20191014,4,0,4,1610612763,99,1610612766,120
0011900055,1,20191014,4,0,4,1610612742,107,1610612760,70
0011900057,1,20191014,4,0,4,1610612762,115,1610612758,128
0011900056,1,20191014,4,0,4,1610612756,102,1610612743,107
0011900058,1,20191014,4,0,4,1610612747,104,1610612744,98
0011900059,1,20191015,4,0,4,1610612739,95,1610612738,118
0011900060,1,20191015,4,0,4,1610612754,111,1610612750,119
0011900061,1,20191015,4,0,4,1610612755,106,1610612765,86
0011900062,1,20191016,4,0,4,1610612766,110,1610612765,116
0011900063,1,20191016,4,0,4,1610612752,96,1610612737,100
0011900064,1,20191016,4,0,4,1610612745,114,1610612759,128
0011900065,1,20191016,4,0,4,1610612760,119,1610612763,124
0011900066,1,20191016,4,0,4,1610612762,118,1610612757,126
0011900067,1,20191016,4,0,4,1610612758,124,15016,110
0011900068,1,20191016,4,0,4,1610612747,126,1610612744,93
0011900069,1,20191017,4,0,4,1610612753,98,1610612748,107
0011900070,1,20191017,4,0,4,1610612741,111,1610612737,93
0011900071,1,20191017,4,0,4,1610612749,118,1610612750,96
0011900072,1,20191017,4,0,4,1610612743,110,1610612757,104
0011900073,1,20191017,4,0,4,1610612746,87,1610612742,102
0011900074,1,20191018,4,0,4,1610612755,93,1610612764,112
0011900075,1,20191018,4,0,4,1610612751,107,1610612761,123
0011900076,1,20191018,4,0,4,1610612748,133,1610612745,144
0011900077,1,20191018,4,0,4,1610612752,116,1610612740,117
0011900078,1,20191018,4,0,4,1610612759,104,1610612763,91
0011900079,1,20191018,4,0,4,1610612744,124,1610612747,103
0021900001,2,20191022,5,0,4,1610612761,130,1610612740,122
0021900002,2,20191022,4,0,4,1610612746,112,1610612747,102
0021900003,2,20191023,4,0,4,1610612766,126,1610612741,125
0021900004,2,20191023,4,0,4,1610612754,110,1610612765,119
0021900005,2,20191023,4,0,4,1610612753,94,1610612739,85
0021900006,2,20191023,5,0,4,1610612751,126,1610612750,127
0021900007,2,20191023,4,0,4,1610612748,120,1610612763,101
0021900008,2,20191023,4,0,4,1610612755,107,1610612738,93
0021900009,2,20191023,4,0,4,1610612742,108,1610612764,100
0021900010,2,20191023,4,0,4,1610612759,120,1610612752,111
0021900011,2,20191023,4,0,4,1610612762,100,1610612760,95
0021900012,2,20191023,4,0,4,1610612756,124,1610612758,95
0021900013,2,20191023,4,0,4,1610612757,100,1610612743,108
0021900014,2,20191024,4,0,4,1610612765,100,1610612737,117
0021900015,2,20191024,4,0,4,1610612745,111,1610612749,117
0021900016,2,20191024,4,0,4,1610612744,122,1610612746,141
0021900017,2,20191025,4,0,4,1610612738,112,1610612761,106
0021900018,2,20191025,4,0,4,1610612766,99,1610612750,121
0021900019,2,20191025,4,0,4,1610612751,113,1610612752,109
0021900020,2,20191025,4,0,4,1610612763,102,1610612741,110
0021900021,2,20191025,4,0,4,1610612740,116,1610612742,123
0021900022,2,20191025,4,0,4,1610612760,85,1610612764,97
0021900023,2,20191025,5,0,4,1610612743,108,1610612756,107
0021900024,2,20191025,4,0,4,1610612758,112,1610612757,122
0021900025,2,20191025,4,0,4,1610612747,95,1610612762,86
0021900026,2,20191026,5,0,4,1610612749,126,1610612748,131
0021900027,2,20191026,4,0,4,1610612765,111,1610612755,117
0021900028,2,20191026,4,0,4,1610612737,103,1610612753,99
0021900029,2,20191026,4,0,4,1610612752,95,1610612738,118
0021900030,2,20191026,4,0,4,1610612739,110,1610612754,99
0021900031,2,20191026,4,0,4,1610612741,84,1610612761,108
0021900032,2,20191026,4,0,4,1610612745,126,1610612740,123
0021900033,2,20191026,4,0,4,1610612759,124,1610612764,122
0021900034,2,20191026,4,0,4,1610612762,113,1610612758,81
0021900035,2,20191026,4,0,4,1610612756,130,1610612746,122
0021900036,2,20191027,4,0,4,1610612760,120,1610612744,92
0021900037,2,20191027,5,0,4,1610612763,134,1610612751,133
0021900038,2,20191027,4,0,4,1610612742,119,1610612757,121
0021900039,2,20191027,4,0,4,1610612750,116,1610612748,109
0021900040,2,20191027,4,0,4,1610612747,120,1610612766,101
0021900041,2,20191028,4,0,4,1610612765,96,1610612754,94
0021900042,2,20191028,4,0,4,1610612752,105,1610612741,98
0021900043,2,20191028,4,0,4,1610612737,103,1610612755,105
0021900044,2,20191028,4,0,4,1610612761,104,1610612753,95
0021900045,2,20191028,4,0,4,1610612745,116,1610612760,112
0021900046,2,20191028,4,0,4,1610612749,129,1610612739,112
0021900047,2,20191028,4,0,4,1610612740,123,1610612744,134
0021900048,2,20191028,4,0,4,1610612759,113,1610612757,110
0021900049,2,20191028,4,0,4,1610612756,95,1610612762,96
0021900050,2,20191028,4,0,4,1610612758,94,1610612743,101
0021900051,2,20191028,4,0,4,1610612746,111,1610612766,96
0021900052,2,20191029,4,0,4,1610612748,112,1610612737,97
0021900053,2,20191029,4,0,4,1610612743,106,1610612742,109
0021900054,2,20191029,4,0,4,1610612747,120,1610612763,91
0021900055,2,20191030,4,0,4,1610612739,117,1610612741,111
0021900056,2,20191030,4,0,4,1610612753,95,1610612752,83
0021900057,2,20191030,4,0,4,1610612755,117,1610612750,95
0021900058,2,20191030,4,0,4,1610612738,116,1610612749,105
0021900059,2,20191030,4,0,4,1610612751,108,1610612754,118
0021900060,2,20191030,4,0,4,1610612761,125,1610612765,113
0021900061,2,20191030,4,0,4,1610612764,158,1610612745,159
0021900062,2,20191030,4,0,4,1610612760,99,1610612757,102
0021900063,2,20191030,4,0,4,1610612762,110,1610612746,96
0021900064,2,20191030,4,0,4,1610612758,111,1610612766,118
0021900065,2,20191030,4,0,4,1610612744,110,1610612756,121
0021900066,2,20191031,4,0,4,1610612737,97,1610612748,106
0021900067,2,20191031,4,0,4,1610612740,122,1610612743,107
0021900068,2,20191031,4,0,4,1610612746,103,1610612759,97
0021900069,2,20191101,4,0,4,1610612751,123,1610612745,116
0021900070,2,20191101,4,0,4,1610612754,102,1610612739,95
0021900071,2,20191101,4,0,4,1610612753,91,1610612749,123
