id,game_url,season_id,date,time,arena,city,state,country,home_start_date,home_start_time,visitor_start_date,visitor_start_time,previewAvailable,recapAvailable,notebookAvailable,tnt_ot,buzzerBeater,ticket.ticket_link,period_time.period_value,period_time.period_status,period_time.game_status,period_time.game_clock,period_time.total_periods,period_time.period_name,lp.lp_video,lp.condensed_bb,lp.visitor.audio.ENG,lp.visitor.audio.SPA,lp.visitor.video.avl,lp.visitor.video.onAir,lp.visitor.video.archBB,lp.home.audio.ENG,lp.home.audio.SPA,lp.home.video.avl,lp.home.video.onAir,lp.home.video.archBB,dl.link,broadcasters.radio.broadcaster,broadcasters.tv.broadcaster,playoffs.round,playoffs.conference,playoffs.series,playoffs.gameId,playoffs.gameStatus,playoffs.game_number,playoffs.game_necessary_flag,playoffs.home_seed,playoffs.visitor_seed,playoffs.home_wins,playoffs.visitor_wins,visitor.id,visitor.team_key,visitor.city,visitor.abbreviation,visitor.nickname,visitor.url_name,visitor.team_code,visitor.score,visitor.linescores.period,home.id,home.team_key,home.city,home.abbreviation,home.nickname,home.url_name,home.team_code,home.score,home.linescores.period
0041700124,20180421/PHIMIA,42017,20180421,1430,AmericanAirlines Arena,Miami,FL,USA,20180421,1430,20180421,1430,1,1,0,1,0,https://a.data.nba.com/tickets/single/2017/0041700124/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,false,false,false,false,false,true,"[{'name': 'TNT', 'long_nm': '', 'code': 'tnt', 'url': 'http://www.tntdrama.com/watchtnt/', 'mobile_url': '', 'home_visitor': 'natl'}, {'name': 'TNTOT', 'long_nm': '', 'code': 'tntot', 'url': 'http://www.nba.com/tntovertime/', 'mobile_url': '', 'home_visitor': 'natl'}]","[{'scope': 'local', 'home_visitor': 'home', 'display_name': '790 The Ticket / S: WRTO MIX 98.3 FM'}]","[{'scope': 'natl', 'home_visitor': 'natl', 'display_name': 'TNT'}, {'scope': 'can', 'home_visitor': 'can', 'display_name': 'TSN5'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Sun'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'NBCSP'}]",1,East,3,0041700124,3,4,0,6,3,1,3,1610612755,PHI,Philadelphia,PHI,76ers,sixers,sixers,106,"[{'period_value': '1', 'period_name': 'Q1', 'score': '26'}, {'period_value': '2', 'period_name': 'Q2', 'score': '30'}, {'period_value': '3', 'period_name': 'Q3', 'score': '23'}, {'period_value': '4', 'period_name': 'Q4', 'score': '27'}]",1610612748,MIA,Miami,MIA,Heat,heat,heat,102,"[{'period_value': '1', 'period_name': 'Q1', 'score': '26'}, {'period_value': '2', 'period_name': 'Q2', 'score': '35'}, {'period_value': '3', 'period_name': 'Q3', 'score': '22'}, {'period_value': '4', 'period_name': 'Q4', 'score': '19'}]"
0041700164,20180421/PORNOP,42017,20180421,1700,Smoothie King Center,New Orleans,LA,USA,20180421,1600,20180421,1400,1,1,0,1,0,https://a.data.nba.com/tickets/single/2017/0041700164/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,false,false,false,false,false,true,"[{'name': 'TNT', 'long_nm': '', 'code': 'tnt', 'url': 'http://www.tntdrama.com/watchtnt/', 'mobile_url': '', 'home_visitor': 'natl'}, {'name': 'TNTOT', 'long_nm': '', 'code': 'tntot', 'url': 'http://www.nba.com/tntovertime/', 'mobile_url': '', 'home_visitor': 'natl'}]","[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'WRNO 99.5FM'}]","[{'scope': 'natl', 'home_visitor': 'natl', 'display_name': 'TNT'}, {'scope': 'can', 'home_visitor': 'can', 'display_name': 'TSN5'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports New Orleans'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'NBC SPORTS NORTHWEST'}]",1,West,3,0041700164,3,4,0,6,3,4,0,1610612757,POR,Portland,POR,Trail Blazers,blazers,blazers,123,"[{'period_value': '1', 'period_name': 'Q1', 'score': '25'}, {'period_value': '2', 'period_name': 'Q2', 'score': '31'}, {'period_value': '3', 'period_name': 'Q3', 'score': '31'}, {'period_value': '4', 'period_name': 'Q4', 'score': '36'}]",1610612740,NOP,New Orleans,NOP,Pelicans,pelicans,pelicans,131,"[{'period_value': '1', 'period_name': 'Q1', 'score': '26'}, {'period_value': '2', 'period_name': 'Q2', 'score': '32'}, {'period_value': '3', 'period_name': 'Q3', 'score': '42'}, {'period_value': '4', 'period_name': 'Q4', 'score': '31'}]"
0041700143,20180421/HOUMIN,42017,20180421,1930,Target Center,Minneapolis,MN,USA,20180421,1830,20180421,1830,1,1,0,0,0,https://a.data.nba.com/tickets/single/2017/0041700143/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,false,false,false,false,false,true,"[{'name': 'ESPN', 'long_nm': '', 'code': 'espn', 'url': 'http://www.espn.com/watch?id=3292282', 'mobile_url': 'watchespn://showEvent?eventId=3292282', 'home_visitor': 'natl'}]","[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'BUZ&#146;N 102.9'}]","[{'scope': 'natl', 'home_visitor': 'natl', 'display_name': 'ESPN'}, {'scope': 'can', 'home_visitor': 'can', 'display_name': 'TSN5'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports North'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'AT&T Sportsnet - Southwest'}]",1,West,1,0041700143,3,3,0,8,1,1,2,1610612745,HOU,Houston,HOU,Rockets,rockets,rockets,105,"[{'period_value': '1', 'period_name': 'Q1', 'score': '28'}, {'period_value': '2', 'period_name': 'Q2', 'score': '23'}, {'period_value': '3', 'period_name': 'Q3', 'score': '24'}, {'period_value': '4', 'period_name': 'Q4', 'score': '30'}]",1610612750,MIN,Minnesota,MIN,Timberwolves,timberwolves,timberwolves,121,"[{'period_value': '1', 'period_name': 'Q1', 'score': '27'}, {'period_value': '2', 'period_name': 'Q2', 'score': '25'}, {'period_value': '3', 'period_name': 'Q3', 'score': '35'}, {'period_value': '4', 'period_name': 'Q4', 'score': '34'}]"
0041700173,20180421/OKCUTA,42017,20180421,2200,Vivint Smart Home Arena,Salt Lake City,UT,USA,20180421,2000,20180421,2100,1,1,0,0,0,https://a.data.nba.com/tickets/single/2017/0041700173/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,false,false,false,false,false,true,"[{'name': 'ESPN', 'long_nm': '', 'code': 'espn', 'url': 'http://www.espn.com/watch?id=3352879', 'mobile_url': 'watchespn://showEvent?eventId=3352879', 'home_visitor': 'natl'}]","[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'WWLS 98.1FM OKC'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': '97.5 FM | 1280 AM The Zone'}]","[{'scope': 'natl', 'home_visitor': 'natl', 'display_name': 'ESPN'}, {'scope': 'can', 'home_visitor': 'can', 'display_name': 'TSN5'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'AT&T Sportsnet - Rocky Mountain'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports Oklahoma'}]",1,West,2,0041700173,3,3,0,5,4,2,1,1610612760,OKC,Oklahoma City,OKC,Thunder,thunder,thunder,102,"[{'period_value': '1', 'period_name': 'Q1', 'score': '30'}, {'period_value': '2', 'period_name': 'Q2', 'score': '23'}, {'period_value': '3', 'period_name': 'Q3', 'score': '22'}, {'period_value': '4', 'period_name': 'Q4', 'score': '27'}]",1610612762,UTA,Utah,UTA,Jazz,jazz,jazz,115,"[{'period_value': '1', 'period_name': 'Q1', 'score': '22'}, {'period_value': '2', 'period_name': 'Q2', 'score': '36'}, {'period_value': '3', 'period_name': 'Q3', 'score': '31'}, {'period_value': '4', 'period_name': 'Q4', 'score': '26'}]"
