id,game_url,season_id,date,time,arena,city,state,country,home_start_date,home_start_time,visitor_start_date,visitor_start_time,previewAvailable,recapAvailable,notebookAvailable,tnt_ot,buzzerBeater,ticket.ticket_link,period_time.period_value,period_time.period_status,period_time.game_status,period_time.game_clock,period_time.total_periods,period_time.period_name,lp.lp_video,lp.condensed_bb,lp.visitor.audio.ENG,lp.visitor.audio.SPA,lp.visitor.video.avl,lp.visitor.video.onAir,lp.visitor.video.archBB,lp.home.audio.ENG,lp.home.audio.SPA,lp.home.video.avl,lp.home.video.onAir,lp.home.video.archBB,dl.link,broadcasters.radio.broadcaster,broadcasters.tv.broadcaster,visitor.id,visitor.team_key,visitor.city,visitor.abbreviation,visitor.nickname,visitor.url_name,visitor.team_code,visitor.score,visitor.linescores.period,home.id,home.team_key,home.city,home.abbreviation,home.nickname,home.url_name,home.team_code,home.score,home.linescores.period
0021900793,20200210/CHADET,22019,20200210,1900,Little Caesars Arena,Detroit,MI,USA,20200210,1900,20200210,1900,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021900793/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'WFNZ 610 AM/102.5 FM'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': '97.1 FM The Ticket'}]","[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Detroit'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports Southeast - Charlotte'}]",1610612766,CHA,Charlotte,CHA,Hornets,hornets,hornets,87,"[{'period_value': '1', 'period_name': 'Q1', 'score': '21'}, {'period_value': '2', 'period_name': 'Q2', 'score': '26'}, {'period_value': '3', 'period_name': 'Q3', 'score': '19'}, {'period_value': '4', 'period_name': 'Q4', 'score': '21'}]",1610612765,DET,Detroit,DET,Pistons,pistons,pistons,76,"[{'period_value': '1', 'period_name': 'Q1', 'score': '11'}, {'period_value': '2', 'period_name': 'Q2', 'score': '26'}, {'period_value': '3', 'period_name': 'Q3', 'score': '22'}, {'period_value': '4', 'period_name': 'Q4', 'score': '17'}]"
0021900794,20200210/BKNIND,22019,20200210,1900,Bankers Life Fieldhouse,Indianapolis,IN,USA,20200210,1900,20200210,1900,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021900794/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'WFAN'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': '93.5/107.5 FM The Fan'}]","[{'scope': 'can', 'home_visitor': 'can', 'display_name': 'SN Now + TSN.ca/TSN App'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Indiana'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'YES'}]",1610612751,BKN,Brooklyn,BKN,Nets,nets,nets,106,"[{'period_value': '1', 'period_name': 'Q1', 'score': '30'}, {'period_value': '2', 'period_name': 'Q2', 'score': '21'}, {'period_value': '3', 'period_name': 'Q3', 'score': '26'}, {'period_value': '4', 'period_name': 'Q4', 'score': '29'}]",1610612754,IND,Indiana,IND,Pacers,pacers,pacers,105,"[{'period_value': '1', 'period_name': 'Q1', 'score': '28'}, {'period_value': '2', 'period_name': 'Q2', 'score': '20'}, {'period_value': '3', 'period_name': 'Q3', 'score': '32'}, {'period_value': '4', 'period_name': 'Q4', 'score': '25'}]"
0021900795,20200210/ATLORL,22019,20200210,1900,Amway Center,Orlando,FL,USA,20200210,1900,20200210,1900,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021900795/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'WZGC 92.9 FM The Game'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': '96.9 FM THE GAME / 98.1 SALSA Y MAS'}]","[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Florida'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports Southeast - Atlanta'}]",1610612737,ATL,Atlanta,ATL,Hawks,hawks,hawks,126,"[{'period_value': '1', 'period_name': 'Q1', 'score': '28'}, {'period_value': '2', 'period_name': 'Q2', 'score': '33'}, {'period_value': '3', 'period_name': 'Q3', 'score': '35'}, {'period_value': '4', 'period_name': 'Q4', 'score': '30'}]",1610612753,ORL,Orlando,ORL,Magic,magic,magic,135,"[{'period_value': '1', 'period_name': 'Q1', 'score': '22'}, {'period_value': '2', 'period_name': 'Q2', 'score': '34'}, {'period_value': '3', 'period_name': 'Q3', 'score': '37'}, {'period_value': '4', 'period_name': 'Q4', 'score': '42'}]"
0021900796,20200210/MINTOR,22019,20200210,1930,Scotiabank Arena,Toronto,ON,Canada,20200210,1930,20200210,1830,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021900796/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': '830 WCCO'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'TSN Radio 1050 Toronto'}]","[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'SN1'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports North'}]",1610612750,MIN,Minnesota,MIN,Timberwolves,timberwolves,timberwolves,126,"[{'period_value': '1', 'period_name': 'Q1', 'score': '36'}, {'period_value': '2', 'period_name': 'Q2', 'score': '39'}, {'period_value': '3', 'period_name': 'Q3', 'score': '19'}, {'period_value': '4', 'period_name': 'Q4', 'score': '32'}]",1610612761,TOR,Toronto,TOR,Raptors,raptors,raptors,137,"[{'period_value': '1', 'period_name': 'Q1', 'score': '40'}, {'period_value': '2', 'period_name': 'Q2', 'score': '34'}, {'period_value': '3', 'period_name': 'Q3', 'score': '32'}, {'period_value': '4', 'period_name': 'Q4', 'score': '31'}]"
0021900797,20200210/SACMIL,22019,20200210,2000,Fiserv Forum,Milwaukee,WI,USA,20200210,1900,20200210,1700,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021900797/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'KHTK Sports 1140 AM'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': '620 AM/103.3 FM WTMJ'}]","[{'scope': 'natl', 'home_visitor': 'natl', 'display_name': 'NBA TV'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Wisconsin'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'NBC Sports California'}]",1610612758,SAC,Sacramento,SAC,Kings,kings,kings,111,"[{'period_value': '1', 'period_name': 'Q1', 'score': '24'}, {'period_value': '2', 'period_name': 'Q2', 'score': '34'}, {'period_value': '3', 'period_name': 'Q3', 'score': '32'}, {'period_value': '4', 'period_name': 'Q4', 'score': '21'}]",1610612749,MIL,Milwaukee,MIL,Bucks,bucks,bucks,123,"[{'period_value': '1', 'period_name': 'Q1', 'score': '38'}, {'period_value': '2', 'period_name': 'Q2', 'score': '19'}, {'period_value': '3', 'period_name': 'Q3', 'score': '31'}, {'period_value': '4', 'period_name': 'Q4', 'score': '35'}]"
0021900798,20200210/UTADAL,22019,20200210,2030,American Airlines Center,Dallas,TX,USA,20200210,1930,20200210,1830,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021900798/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': '97.5 FM | 1280 AM The Zone'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'ESPN 103.3 FM / 1270 AM (ESP)'}]","[{'scope': 'can', 'home_visitor': 'can', 'display_name': 'TSN1/3/4+RDS2'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Southwest - Dallas'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'AT&T Sportsnet - Rocky Mountain'}]",1610612762,UTA,Utah,UTA,Jazz,jazz,jazz,123,"[{'period_value': '1', 'period_name': 'Q1', 'score': '32'}, {'period_value': '2', 'period_name': 'Q2', 'score': '39'}, {'period_value': '3', 'period_name': 'Q3', 'score': '29'}, {'period_value': '4', 'period_name': 'Q4', 'score': '23'}]",1610612742,DAL,Dallas,DAL,Mavericks,mavericks,mavericks,119,"[{'period_value': '1', 'period_name': 'Q1', 'score': '24'}, {'period_value': '2', 'period_name': 'Q2', 'score': '26'}, {'period_value': '3', 'period_name': 'Q3', 'score': '34'}, {'period_value': '4', 'period_name': 'Q4', 'score': '35'}]"
0021900799,20200210/SASDEN,22019,20200210,2100,Pepsi Center,Denver,CO,USA,20200210,1900,20200210,2000,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021900799/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'WOAI 1200AM | S: KTXN 1350AM / 107.5FM H'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'KKSE 92.5FM/950AM'}]","[{'scope': 'can', 'home_visitor': 'can', 'display_name': 'NBA TV Canada'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'Altitude'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports Southwest - San Antonio'}]",1610612759,SAS,San Antonio,SAS,Spurs,spurs,spurs,120,"[{'period_value': '1', 'period_name': 'Q1', 'score': '40'}, {'period_value': '2', 'period_name': 'Q2', 'score': '27'}, {'period_value': '3', 'period_name': 'Q3', 'score': '26'}, {'period_value': '4', 'period_name': 'Q4', 'score': '27'}]",1610612743,DEN,Denver,DEN,Nuggets,nuggets,nuggets,127,"[{'period_value': '1', 'period_name': 'Q1', 'score': '30'}, {'period_value': '2', 'period_name': 'Q2', 'score': '23'}, {'period_value': '3', 'period_name': 'Q3', 'score': '36'}, {'period_value': '4', 'period_name': 'Q4', 'score': '38'}]"
0021900800,20200210/MIAGSW,22019,20200210,2230,Chase Center,San Francisco,CA,USA,20200210,1930,20200210,2230,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021900800/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'WAXY 790 AM / S: WAQI 710 AM'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': '95.7 The Game'}]","[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'NBC Sports Bay Area'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports Sun'}]",1610612748,MIA,Miami,MIA,Heat,heat,heat,113,"[{'period_value': '1', 'period_name': 'Q1', 'score': '24'}, {'period_value': '2', 'period_name': 'Q2', 'score': '38'}, {'period_value': '3', 'period_name': 'Q3', 'score': '21'}, {'period_value': '4', 'period_name': 'Q4', 'score': '30'}]",1610612744,GSW,Golden State,GSW,Warriors,warriors,warriors,101,"[{'period_value': '1', 'period_name': 'Q1', 'score': '20'}, {'period_value': '2', 'period_name': 'Q2', 'score': '23'}, {'period_value': '3', 'period_name': 'Q3', 'score': '32'}, {'period_value': '4', 'period_name': 'Q4', 'score': '26'}]"
0021900801,20200210/PHXLAL,22019,20200210,2230,Staples Center,Los Angeles,CA,USA,20200210,1930,20200210,2030,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021900801/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'AZ Sports 98.7 FM'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': '710 AM ESPN / 1330 AM ESPN DEPORTES'}]","[{'scope': 'natl', 'home_visitor': 'natl', 'display_name': 'NBA TV'}, {'scope': 'can', 'home_visitor': 'can', 'display_name': 'SN1'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'Spectrum SportsNet'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports Arizona'}]",1610612756,PHX,Phoenix,PHX,Suns,suns,suns,100,"[{'period_value': '1', 'period_name': 'Q1', 'score': '30'}, {'period_value': '2', 'period_name': 'Q2', 'score': '22'}, {'period_value': '3', 'period_name': 'Q3', 'score': '23'}, {'period_value': '4', 'period_name': 'Q4', 'score': '25'}]",1610612747,LAL,Los Angeles,LAL,Lakers,lakers,lakers,125,"[{'period_value': '1', 'period_name': 'Q1', 'score': '31'}, {'period_value': '2', 'period_name': 'Q2', 'score': '30'}, {'period_value': '3', 'period_name': 'Q3', 'score': '29'}, {'period_value': '4', 'period_name': 'Q4', 'score': '35'}]"
