personId,firstName,lastName,teamId,min,points,fgm,fga,ftm,fta,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,gameId
203501,Tim,Hardaway Jr.,1610612742,32,16,5,9,3,4,3,5,1,5,6,0,1,0,1,0,8,0021900826
1627827,Dorian,Finney-Smith,1610612742,35,5,2,6,0,0,1,4,2,5,7,1,1,1,0,0,14,0021900826
204001,Kristaps,Porzingis,1610612742,33,24,8,16,4,4,4,9,2,8,10,5,3,0,2,5,15,0021900826
203552,Seth,Curry,1610612742,27,6,3,9,0,0,0,4,1,5,6,1,0,1,2,0,3,0021900826
1629029,Luka,Doncic,1610612742,34,33,10,21,9,12,4,8,0,10,10,8,0,1,6,1,13,0021900826
1628467,Maxi,Kleber,1610612742,22,26,10,13,3,3,3,6,0,3,3,1,1,0,1,1,10,0021900826
1626153,Delon,Wright,1610612742,23,5,2,3,1,1,0,1,1,4,5,4,2,1,2,0,18,0021900826
1628973,Jalen,Brunson,1610612742,19,4,2,5,0,0,0,1,0,1,1,5,2,1,1,0,8,0021900826
203077,Michael,Kidd-Gilchrist,1610612742,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-7,0021900826
1628382,Justin,Jackson,1610612742,5,3,1,2,1,2,0,0,1,1,2,1,1,1,0,0,-2,0021900826
200826,J.J.,Barea,1610612742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021900826
1626161,Willie,Cauley-Stein,1610612742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021900826
201584,Courtney,Lee,1610612742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021900826
203516,James,Ennis III,1610612753,21,2,1,6,0,0,0,3,2,1,3,0,1,0,0,0,1,0021900826
203932,Aaron,Gordon,1610612753,34,10,4,13,2,4,0,3,2,10,12,7,5,2,2,1,1,0021900826
202696,Nikola,Vucevic,1610612753,37,27,12,27,2,2,1,7,4,8,12,1,1,4,0,1,-5,0021900826
203095,Evan,Fournier,1610612753,33,28,10,19,3,3,5,12,1,1,2,1,3,2,1,0,-8,0021900826
1628365,Markelle,Fultz,1610612753,25,14,7,12,0,0,0,2,0,1,1,9,1,0,2,0,0,0021900826
1629109,Gary,Clark,1610612753,7,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,-10,0021900826
203082,Terrence,Ross,1610612753,27,19,5,16,6,8,3,8,2,3,5,1,3,2,0,0,-23,0021900826
201571,D.J.,Augustin,1610612753,16,0,0,2,0,0,0,2,0,1,1,0,1,1,1,0,-14,0021900826
1628964,Mo,Bamba,1610612753,11,2,1,3,0,0,0,1,0,1,1,2,4,0,0,0,-11,0021900826
203487,Michael,Carter-Williams,1610612753,25,4,1,4,2,2,0,3,5,6,11,0,2,0,1,0,-11,0021900826
203920,Khem,Birch,1610612753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021900826
1628411,Wes,Iwundu,1610612753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021900826
1629724,Vic,Law,1610612753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021900826
