personId,firstName,lastName,teamId,min,points,fgm,fga,ftm,fta,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,gameId
2772,Trevor,Ariza,1610612757,39,2,1,5,0,0,0,2,0,3,3,3,3,6,0,1,-5,0021900726
1629117,Wenyen,Gabriel,1610612757,12,0,0,3,0,0,0,1,1,0,1,1,6,0,0,1,5,0021900726
202355,Hassan,Whiteside,1610612757,33,30,13,14,4,6,0,0,3,10,13,2,1,2,0,5,8,0021900726
203468,CJ,McCollum,1610612757,40,19,8,22,1,2,2,9,1,5,6,5,0,0,0,0,1,0021900726
203081,Damian,Lillard,1610612757,40,48,17,30,7,8,7,12,1,8,9,10,1,2,1,0,12,0021900726
1629018,Gary,Trent Jr.,1610612757,22,10,4,9,0,0,2,5,0,0,0,1,2,0,1,0,10,0021900726
1629642,Nassir,Little,1610612757,11,8,3,5,0,0,2,4,0,0,0,0,2,0,0,0,8,0021900726
1629014,Anfernee,Simons,1610612757,15,4,1,3,2,2,0,1,0,0,0,2,0,0,0,0,4,0021900726
1628403,Caleb,Swanigan,1610612757,13,5,2,2,1,1,0,0,0,6,6,1,4,0,3,0,2,0021900726
1626209,Mario,Hezonja,1610612757,11,1,0,4,1,2,0,2,0,2,2,0,3,0,0,1,-5,0021900726
2546,Carmelo,Anthony,1610612757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021900726
203994,Jusuf,Nurkic,1610612757,,,,,,,,,,,,,,,,,,0021900726
2544,LeBron,James,1610612747,37,22,9,22,1,4,3,8,2,6,8,10,2,0,5,1,7,0021900726
203076,Anthony,Davis,1610612747,38,37,14,22,6,8,3,5,4,12,16,6,1,1,4,5,-13,0021900726
201580,JaVale,McGee,1610612747,14,6,3,4,0,0,0,0,1,2,3,0,1,0,1,2,-2,0021900726
201980,Danny,Green,1610612747,21,5,1,8,2,3,1,6,1,2,3,1,1,0,0,1,1,0021900726
202340,Avery,Bradley,1610612747,25,10,3,6,2,2,2,3,1,4,5,2,2,0,0,0,-5,0021900726
1628398,Kyle,Kuzma,1610612747,25,17,6,12,5,7,0,3,5,10,15,0,2,0,4,0,-16,0021900726
203484,Kentavious,Caldwell-Pope,1610612747,21,8,3,7,1,2,1,3,1,0,1,1,2,1,0,0,-10,0021900726
203584,Troy,Daniels,1610612747,7,3,1,4,1,2,0,1,3,0,3,1,2,0,1,0,-2,0021900726
200765,Rajon,Rondo,1610612747,14,2,1,3,0,0,0,1,0,0,0,5,0,0,2,0,-11,0021900726
201162,Jared,Dudley,1610612747,5,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6,0021900726
2730,Dwight,Howard,1610612747,14,6,3,3,0,0,0,0,1,3,4,0,5,0,1,1,6,0021900726
1627936,Alex,Caruso,1610612747,8,0,0,2,0,0,0,1,0,1,1,2,3,0,0,0,-2,0021900726
1626188,Quinn,Cook,1610612747,5,3,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0021900726
