personId,firstName,lastName,teamId,min,points,fgm,fga,ftm,fta,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,gameId
203084,Harrison,Barnes,1610612758,35,20,7,13,1,2,5,7,2,3,5,1,2,0,0,0,17,0021900945
202357,Nemanja,Bjelica,1610612758,20,10,3,7,3,3,1,3,1,2,3,2,1,0,3,0,14,0021900945
1628385,Harry,Giles III,1610612758,18,6,3,5,0,0,0,0,0,7,7,0,2,1,1,0,10,0021900945
203992,Bogdan,Bogdanovic,1610612758,28,27,10,15,0,0,7,11,0,5,5,8,3,1,1,1,14,0021900945
1628368,De'Aaron,Fox,1610612758,28,14,3,11,8,8,0,2,0,5,5,11,1,2,1,0,25,0021900945
1626158,Richaun,Holmes,1610612758,19,10,3,8,4,6,0,0,5,3,8,0,5,0,2,1,2,0021900945
203145,Kent,Bazemore,1610612758,24,8,3,6,0,0,2,4,0,7,7,4,3,3,2,0,5,0021900945
202709,Cory,Joseph,1610612758,24,4,1,4,2,2,0,2,0,0,0,1,4,0,1,1,-5,0021900945
1627741,Buddy,Hield,1610612758,25,22,8,14,0,0,6,9,1,2,3,3,1,2,2,0,-3,0021900945
203458,Alex,Len,1610612758,9,0,0,1,0,0,0,0,2,2,4,0,1,0,1,0,-6,0021900945
1627812,Yogi,Ferrell,1610612758,3,2,0,1,2,2,0,1,0,0,0,0,0,0,0,0,-7,0021900945
1629713,Justin,James,1610612758,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0021900945
203953,Jabari,Parker,1610612758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021900945
2772,Trevor,Ariza,1610612757,29,5,1,6,2,2,1,5,0,7,7,2,0,0,1,0,-15,0021900945
2546,Carmelo,Anthony,1610612757,23,8,2,5,3,4,1,2,1,3,4,3,1,0,0,0,-18,0021900945
202355,Hassan,Whiteside,1610612757,30,19,8,11,3,5,0,0,2,9,11,0,1,0,4,3,-18,0021900945
203468,CJ,McCollum,1610612757,34,19,7,15,4,6,1,7,1,3,4,6,4,2,3,0,-18,0021900945
203081,Damian,Lillard,1610612757,33,12,4,15,2,4,2,10,0,3,3,6,1,2,1,0,-19,0021900945
1629018,Gary,Trent Jr.,1610612757,21,14,5,9,2,2,2,5,0,0,0,0,2,0,0,0,-9,0021900945
1626209,Mario,Hezonja,1610612757,22,16,7,11,0,0,2,4,1,2,3,1,1,1,1,0,1,0021900945
1629014,Anfernee,Simons,1610612757,18,6,3,8,0,0,0,2,2,0,2,1,4,1,1,0,3,0021900945
1629117,Wenyen,Gabriel,1610612757,15,8,3,5,1,2,1,2,3,2,5,0,1,2,0,0,9,0021900945
1629642,Nassir,Little,1610612757,5,4,2,4,0,1,0,2,0,0,0,1,1,1,0,0,12,0021900945
1628403,Caleb,Swanigan,1610612757,5,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,12,0021900945
203994,Jusuf,Nurkic,1610612757,,,,,,,,,,,,,,,,,,0021900945
