personId,firstName,lastName,teamId,min,points,fgm,fga,ftm,fta,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,gameId
2544,LeBron,James,1610612747,36,34,14,21,3,3,3,5,0,12,12,13,2,2,6,0,22,0021900900
1628398,Kyle,Kuzma,1610612747,35,20,8,18,2,3,2,8,1,3,4,1,4,1,0,0,11,0021900900
201580,JaVale,McGee,1610612747,24,8,4,6,0,0,0,0,2,2,4,0,3,0,1,7,6,0021900900
201980,Danny,Green,1610612747,22,10,4,9,0,0,2,6,0,3,3,1,3,1,1,0,0,0021900900
202340,Avery,Bradley,1610612747,24,10,3,8,2,2,2,4,1,1,2,3,1,1,0,1,5,0021900900
203484,Kentavious,Caldwell-Pope,1610612747,31,13,5,11,2,2,1,5,0,0,0,2,1,3,1,1,9,0021900900
2730,Dwight,Howard,1610612747,22,8,4,6,0,0,0,0,2,4,6,1,5,0,1,1,8,0021900900
202693,Markieff,Morris,1610612747,14,10,4,8,0,0,2,4,0,4,4,1,4,1,0,0,-9,0021900900
200765,Rajon,Rondo,1610612747,16,4,2,5,0,0,0,1,0,1,1,1,0,0,3,0,-5,0021900900
1626188,Quinn,Cook,1610612747,11,5,2,5,0,0,1,2,0,0,0,0,3,0,0,0,-7,0021900900
1627936,Alex,Caruso,1610612747,,,,,,,,,,,,,,,,,,0021900900
203076,Anthony,Davis,1610612747,,,,,,,,,,,,,,,,,,0021900900
201162,Jared,Dudley,1610612747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021900900
1627742,Brandon,Ingram,1610612740,39,15,5,23,4,4,1,9,0,4,4,2,5,1,3,0,4,0021900900
1629627,Zion,Williamson,1610612740,33,35,12,16,11,13,0,0,2,5,7,0,2,0,6,0,-10,0021900900
202324,Derrick,Favors,1610612740,27,12,5,12,2,2,0,0,9,5,14,0,1,1,0,1,-8,0021900900
201950,Jrue,Holiday,1610612740,38,11,4,10,1,2,2,5,1,4,5,6,2,1,2,0,-7,0021900900
1628366,Lonzo,Ball,1610612740,37,19,7,15,4,6,1,7,0,9,9,9,0,3,3,1,-4,0021900900
1628404,Josh,Hart,1610612740,21,7,3,5,0,0,1,3,2,4,6,3,1,0,1,0,-6,0021900900
1629740,Nicolo,Melli,1610612740,20,10,2,8,5,6,1,7,0,2,2,0,0,1,0,1,0,0021900900
202734,E'Twaun,Moore,1610612740,16,5,2,4,0,0,1,1,0,3,3,3,0,0,0,0,-2,0021900900
1628402,Frank,Jackson,1610612740,5,0,0,2,0,0,0,0,1,1,2,1,0,0,1,0,-7,0021900900
1629638,Nickeil,Alexander-Walker,1610612740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021900900
1629637,Jaxson,Hayes,1610612740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021900900
1626143,Jahlil,Okafor,1610612740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021900900
200755,JJ,Redick,1610612740,,,,,,,,,,,,,,,,,,0021900900
