personId,firstName,lastName,teamId,min,points,fgm,fga,ftm,fta,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,gameId
203925,Joe,Harris,1610612751,40,19,8,14,0,0,3,6,1,6,7,1,1,0,0,0,-3,0021900494
1627752,Taurean,Prince,1610612751,34,11,3,13,3,3,2,7,2,12,14,0,2,2,3,1,-14,0021900494
1628386,Jarrett,Allen,1610612751,26,6,2,4,2,3,0,0,1,4,5,1,5,0,3,1,-10,0021900494
202066,Garrett,Temple,1610612751,40,11,3,16,4,4,1,7,0,4,4,5,4,0,2,1,-10,0021900494
203915,Spencer,Dinwiddie,1610612751,39,36,12,31,9,13,3,9,1,4,5,8,3,1,4,0,-4,0021900494
1627789,Timothe,Luwawu-Cabarrot,1610612751,19,11,4,7,0,0,3,5,1,4,5,0,3,1,2,0,3,0021900494
201599,DeAndre,Jordan,1610612751,25,6,2,3,2,4,0,0,1,12,13,3,3,0,1,3,6,0021900494
201163,Wilson,Chandler,1610612751,25,13,5,9,0,0,3,6,0,5,5,0,2,0,1,0,1,0021900494
1629066,Rodions,Kurucs,1610612751,12,2,1,2,0,0,0,1,0,0,0,4,2,0,0,0,-4,0021900494
1627740,Henry,Ellenson,1610612751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021900494
1629058,Dzanan,Musa,1610612751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021900494
1629033,Theo,Pinson,1610612751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021900494
1629103,Kelan,Martin,1610612750,34,9,4,8,0,0,1,4,0,9,9,0,3,0,0,1,11,0021900494
203496,Robert,Covington,1610612750,35,14,4,8,3,5,3,6,1,6,7,0,5,1,2,2,12,0021900494
203476,Gorgui,Dieng,1610612750,32,11,4,11,2,2,1,3,6,14,20,2,6,3,1,1,4,0021900494
1629633,Jarrett,Culver,1610612750,38,21,8,21,2,4,3,8,1,4,5,3,2,3,0,1,7,0021900494
203894,Shabazz,Napier,1610612750,34,24,8,18,5,7,3,6,0,3,3,8,1,2,4,0,4,0021900494
201952,Jeff,Teague,1610612750,20,9,3,7,2,2,1,1,0,3,3,4,1,0,3,0,-1,0021900494
1629675,Naz,Reid,1610612750,19,13,5,16,0,0,3,10,1,3,4,1,3,1,2,1,4,0021900494
1629006,Josh,Okogie,1610612750,18,3,1,5,1,2,0,2,0,2,2,1,0,0,0,0,-6,0021900494
1628966,Keita,Bates-Diop,1610612750,27,15,4,8,6,7,1,3,2,5,7,1,1,2,1,2,0,0021900494
1628395,Jordan,Bell,1610612750,4,3,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0021900494
1626203,Treveon,Graham,1610612750,,,,,,,,,,,,,,,,,,0021900494
203943,Noah,Vonleh,1610612750,,,,,,,,,,,,,,,,,,0021900494
