personId,firstName,lastName,teamId,min,points,fgm,fga,ftm,fta,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,gameId
1628970,Miles,Bridges,1610612766,30,9,3,6,2,2,1,3,1,1,2,2,5,1,0,0,-26,0021900245
1629023,P.J.,Washington,1610612766,23,8,4,8,0,0,0,2,2,2,4,0,3,2,0,0,-14,0021900245
203469,Cody,Zeller,1610612766,16,10,5,8,0,1,0,2,0,2,2,1,1,1,0,0,-14,0021900245
1628984,Devonte',Graham,1610612766,34,16,4,14,8,10,0,4,2,1,3,8,3,0,6,0,-17,0021900245
1626179,Terry,Rozier,1610612766,32,19,7,15,2,2,3,6,1,8,9,5,1,0,3,0,-20,0021900245
201587,Nicolas,Batum,1610612766,18,3,1,5,0,0,1,5,0,2,2,4,3,3,2,0,-2,0021900245
202687,Bismack,Biyombo,1610612766,21,11,4,7,3,4,0,0,2,3,5,1,3,0,1,0,-6,0021900245
1628370,Malik,Monk,1610612766,20,13,4,12,3,3,2,7,0,2,2,2,3,1,0,0,2,0021900245
101107,Marvin,Williams,1610612766,16,3,1,2,0,0,1,2,1,1,2,1,1,0,0,0,-2,0021900245
1628998,Cody,Martin,1610612766,6,4,2,2,0,1,0,0,1,0,1,0,1,1,1,0,11,0021900245
1628407,Dwayne,Bacon,1610612766,15,1,0,6,1,2,0,1,0,2,2,1,0,2,0,0,-3,0021900245
1626195,Willy,Hernangomez,1610612766,3,3,1,2,0,0,1,1,0,1,1,0,0,0,0,0,6,0021900245
203077,Michael,Kidd-Gilchrist,1610612766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021900245
202710,Jimmy,Butler,1610612748,31,21,6,11,9,9,0,2,2,1,3,7,1,1,3,1,29,0021900245
1628389,Bam,Adebayo,1610612748,34,21,8,14,5,5,0,0,1,12,13,5,2,0,3,1,16,0021900245
203086,Meyers,Leonard,1610612748,17,4,2,4,0,1,0,2,1,3,4,0,2,0,1,1,5,0021900245
1629130,Duncan,Robinson,1610612748,22,6,2,6,0,0,2,6,0,1,1,2,6,3,0,0,9,0021900245
1629134,Kendrick,Nunn,1610612748,31,19,7,10,0,0,5,6,0,2,2,4,4,1,1,0,8,0021900245
201609,Goran,Dragic,1610612748,28,6,2,8,2,4,0,3,0,3,3,9,0,2,5,0,5,0021900245
203482,Kelly,Olynyk,1610612748,31,15,5,8,1,1,4,5,3,13,16,1,0,2,4,0,10,0021900245
1629639,Tyler,Herro,1610612748,29,18,6,13,4,4,2,7,0,2,2,1,3,0,0,0,2,0021900245
1629735,Chris,Silva,1610612748,13,7,2,3,3,4,0,0,1,4,5,0,5,0,1,0,1,0021900245
2617,Udonis,Haslem,1610612748,,,,,,,,,,,,,,,,,,0021900245
201949,James,Johnson,1610612748,,,,,,,,,,,,,,,,,,0021900245
1627884,Derrick,Jones Jr.,1610612748,,,,,,,,,,,,,,,,,,0021900245
