personId,firstName,lastName,teamId,min,points,fgm,fga,ftm,fta,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,gameId
1627863,Danuel,House Jr.,1610612745,28,3,1,3,0,0,1,3,1,1,2,0,3,0,1,0,-19,0021900566
200782,P.J.,Tucker,1610612745,32,3,1,5,0,0,1,4,0,6,6,2,3,0,3,0,-30,0021900566
203991,Clint,Capela,1610612745,28,8,3,8,2,2,0,0,4,7,11,1,2,0,0,1,-10,0021900566
201935,James,Harden,1610612745,26,17,5,17,5,5,2,9,1,2,3,3,2,0,1,1,-25,0021900566
201566,Russell,Westbrook,1610612745,33,34,14,26,5,6,1,6,0,2,2,5,5,0,7,0,-13,0021900566
203463,Ben,McLemore,1610612745,25,8,3,7,0,0,2,6,1,3,4,1,0,0,1,0,-14,0021900566
203085,Austin,Rivers,1610612745,26,0,0,7,0,0,0,2,0,1,1,2,3,3,0,0,-3,0021900566
1629598,Chris,Clemons,1610612745,11,14,5,9,1,1,3,6,0,3,3,0,1,0,1,1,-1,0021900566
1628392,Isaiah,Hartenstein,1610612745,12,2,1,5,0,0,0,2,0,4,4,2,1,1,0,0,1,0021900566
200757,Thabo,Sefolosha,1610612745,7,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,5,0021900566
1626187,Michael,Frazier,1610612745,5,3,1,2,0,0,1,2,0,0,0,0,1,0,0,0,4,0021900566
2199,Tyson,Chandler,1610612745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021900566
201569,Eric,Gordon,1610612745,,,,,,,,,,,,,,,,,,0021900566
1628390,Terrance,Ferguson,1610612760,22,6,2,4,0,0,2,4,1,0,1,2,3,0,3,2,23,0021900566
201568,Danilo,Gallinari,1610612760,27,23,7,11,6,6,3,6,1,10,11,4,0,1,0,0,24,0021900566
203500,Steven,Adams,1610612760,24,15,6,8,3,4,0,0,1,7,8,3,1,1,1,0,17,0021900566
1628983,Shai,Gilgeous-Alexander,1610612760,30,20,8,15,3,3,1,3,0,3,3,3,1,1,0,0,28,0021900566
101108,Chris,Paul,1610612760,27,18,7,14,1,2,3,7,0,6,6,5,1,4,1,0,17,0021900566
203471,Dennis,Schroder,1610612760,27,16,7,11,0,0,2,4,0,5,5,1,3,0,3,0,18,0021900566
203488,Mike,Muscala,1610612760,20,4,1,3,2,3,0,1,1,7,8,1,1,0,2,0,7,0021900566
1628977,Hamidou,Diallo,1610612760,23,5,2,7,1,2,0,1,2,3,5,0,3,0,1,0,-2,0021900566
1629647,Darius,Bazley,1610612760,15,0,0,4,0,0,0,2,1,1,2,0,0,1,2,0,-9,0021900566
1627846,Abdel,Nader,1610612760,12,2,1,6,0,0,0,3,1,0,1,3,0,0,0,0,-6,0021900566
1629126,Deonte,Burton,1610612760,4,4,2,3,0,0,0,1,0,0,0,0,0,0,0,0,-9,0021900566
1628383,Justin,Patton,1610612760,2,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,-3,0021900566
1628987,Kevin,Hervey,1610612760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0021900566
