personId,firstName,lastName,teamId,min,points,fgm,fga,ftm,fta,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,gameId
1627742,Brandon,Ingram,1610612740,21,15,5,10,3,3,2,5,0,3,3,5,2,2,1,0,15,0021900765
1629627,Zion,Williamson,1610612740,25,21,9,11,3,5,0,0,1,3,4,1,0,2,5,1,11,0021900765
202324,Derrick,Favors,1610612740,19,8,4,5,0,0,0,0,3,12,15,1,2,0,1,1,22,0021900765
201950,Jrue,Holiday,1610612740,22,9,4,11,0,0,1,5,1,2,3,5,2,0,1,2,9,0021900765
1628366,Lonzo,Ball,1610612740,32,9,3,5,0,0,3,5,0,3,3,10,2,3,3,1,23,0021900765
1628404,Josh,Hart,1610612740,26,12,4,7,1,2,3,6,0,7,7,6,1,2,2,0,17,0021900765
200755,JJ,Redick,1610612740,22,18,7,14,1,1,3,8,0,1,1,5,1,0,2,0,8,0021900765
1629637,Jaxson,Hayes,1610612740,11,9,3,4,3,6,0,0,3,2,5,1,1,1,1,1,-12,0021900765
1629740,Nicolo,Melli,1610612740,22,12,5,8,0,2,2,4,1,2,3,3,4,2,0,0,-13,0021900765
202734,E'Twaun,Moore,1610612740,19,8,3,8,0,0,2,4,0,0,0,0,1,0,1,0,-5,0021900765
1626143,Jahlil,Okafor,1610612740,7,2,1,2,0,0,0,0,0,0,0,0,1,0,1,0,-17,0021900765
1628402,Frank,Jackson,1610612740,4,2,1,2,0,0,0,1,0,0,0,0,1,0,1,1,-14,0021900765
1629638,Nickeil,Alexander-Walker,1610612740,4,0,0,0,0,0,0,0,0,1,1,1,2,0,2,0,-14,0021900765
1628990,Chandler,Hutchison,1610612741,31,16,6,14,4,8,0,2,2,6,8,1,1,2,3,0,-4,0021900765
201152,Thaddeus,Young,1610612741,31,11,5,10,0,0,1,3,1,5,6,1,1,3,3,0,-19,0021900765
1628436,Luke,Kornet,1610612741,17,3,1,1,0,0,1,1,0,1,1,2,1,0,0,0,3,0021900765
203897,Zach,LaVine,1610612741,30,22,8,19,5,7,1,5,1,2,3,3,3,1,3,1,-25,0021900765
203107,Tomas,Satoransky,1610612741,22,9,4,10,0,0,1,3,1,2,3,2,1,1,2,0,-10,0021900765
1629632,Coby,White,1610612741,31,14,5,15,2,2,2,7,0,6,6,9,4,0,2,0,-7,0021900765
1626245,Cristiano,Felicio,1610612741,28,5,1,4,3,4,0,0,5,1,6,1,2,1,1,0,-7,0021900765
1627853,Ryan,Arcidiacono,1610612741,24,13,5,6,0,0,3,4,0,4,4,4,1,2,1,0,8,0021900765
1627885,Shaquille,Harrison,1610612741,17,11,5,8,0,0,1,1,1,2,3,2,1,1,0,0,19,0021900765
1629690,Adam,Mokoka,1610612741,5,15,6,6,0,2,3,3,0,0,0,0,1,0,0,0,12,0021900765
1627756,Denzel,Valentine,1610612741,,,,,,,,,,,,,,,,,,0021900765
